i,ÀÌ¸§, ÄÚµå, °Å·¡¼Ò, koscom_day, naver_day
408,08049,08049.HK,È«Äá °Å·¡¼Ò,20230331,20230331
409,02107,02107.HK,È«Äá °Å·¡¼Ò,20221231,20221231
410,06055,06055.HK,È«Äá °Å·¡¼Ò,20221231,20221231
411,01880,01880.HK,È«Äá °Å·¡¼Ò,20221231,20221231
412,01896,01896.HK,È«Äá °Å·¡¼Ò,20221231,20221231
413,01848,01848.HK,È«Äá °Å·¡¼Ò,20221231,20221231
414,03660,03660.HK,È«Äá °Å·¡¼Ò,20230331,20230331
415,02405,02405.HK,È«Äá °Å·¡¼Ò,20221231,20221231
416,08368,08368.HK,È«Äá °Å·¡¼Ò,20230331,20230331
417,06049,06049.HK,È«Äá °Å·¡¼Ò,20221231,20221231
418,00667,00667.HK,È«Äá °Å·¡¼Ò,20221231,20221231
419,09938,09938.HK,È«Äá °Å·¡¼Ò,20220930,20220930
420,09919,09919.HK,È«Äá °Å·¡¼Ò,20221231,20221231
421,01992,01992.HK,È«Äá °Å·¡¼Ò,20221231,20221231
422,08645,08645.HK,È«Äá °Å·¡¼Ò,20230331,20230331
423,09626,09626.HK,È«Äá °Å·¡¼Ò,20230331,20230331
424,06680,06680.HK,È«Äá °Å·¡¼Ò,20221231,20221231
425,06909,06909.HK,È«Äá °Å·¡¼Ò,20221231,20221231
426,01941,01941.HK,È«Äá °Å·¡¼Ò,20221231,20221231
427,09658,09658.HK,È«Äá °Å·¡¼Ò,20221231,20221231
428,02078,02078.HK,È«Äá °Å·¡¼Ò,20221231,20221231
429,09858,09858.HK,È«Äá °Å·¡¼Ò,20221231,20221231
430,03322,03322.HK,È«Äá °Å·¡¼Ò,20221231,20221231
431,02518,02518.HK,È«Äá °Å·¡¼Ò,20230331,20230331
432,02660,02660.HK,È«Äá °Å·¡¼Ò,20221231,20221231
434,00311,00311.HK,È«Äá °Å·¡¼Ò,20221231,20221231
435,02115,02115.HK,È«Äá °Å·¡¼Ò,20221231,20221231
436,06929,06929.HK,È«Äá °Å·¡¼Ò,20221231,20221231
437,01747,01747.HK,È«Äá °Å·¡¼Ò,20221231,20221231
438,06968,06968.HK,È«Äá °Å·¡¼Ò,20221231,20221231
439,01433,01433.HK,È«Äá °Å·¡¼Ò,20221231,20221231
440,01097,01097.HK,È«Äá °Å·¡¼Ò,20221231,20221231
441,03603,03603.HK,È«Äá °Å·¡¼Ò,20221231,20221231
442,09983,09983.HK,È«Äá °Å·¡¼Ò,20221231,20221231
443,02015,02015.HK,È«Äá °Å·¡¼Ò,20230331,20230331
444,01228,01228.HK,È«Äá °Å·¡¼Ò,20221231,20221231
445,01951,01951.HK,È«Äá °Å·¡¼Ò,20221231,20221231
446,06638,06638.HK,È«Äá °Å·¡¼Ò,20230331,20230331
447,08039,08039.HK,È«Äá °Å·¡¼Ò,20221231,20221231
448,01795,01795.HK,È«Äá °Å·¡¼Ò,20221231,20221231
449,01971,01971.HK,È«Äá °Å·¡¼Ò,20221231,20221231
450,01477,01477.HK,È«Äá °Å·¡¼Ò,20221231,20221231
451,09886,09886.HK,È«Äá °Å·¡¼Ò,20221231,20221231
452,01817,01817.HK,È«Äá °Å·¡¼Ò,20221231,20221231
453,02120,02120.HK,È«Äá °Å·¡¼Ò,20221231,20221231
454,01025,01025.HK,È«Äá °Å·¡¼Ò,20220930,20220930
455,01952,01952.HK,È«Äá °Å·¡¼Ò,20221231,20221231
456,02279,02279.HK,È«Äá °Å·¡¼Ò,20221231,20221231
457,09888,09888.HK,È«Äá °Å·¡¼Ò,20230331,20230331
458,02439,02439.HK,È«Äá °Å·¡¼Ò,20221231,20221231
459,02137,02137.HK,È«Äá °Å·¡¼Ò,20221231,20221231
460,02108,02108.HK,È«Äá °Å·¡¼Ò,20221231,20221231
461,01960,01960.HK,È«Äá °Å·¡¼Ò,20221231,20221231
462,02297,02297.HK,È«Äá °Å·¡¼Ò,20221231,20221231
463,02237,02237.HK,È«Äá °Å·¡¼Ò,20221231,20221231
464,03681,03681.HK,È«Äá °Å·¡¼Ò,20221231,20221231
465,02110,02110.HK,È«Äá °Å·¡¼Ò,20221130,20221130
466,09633,09633.HK,È«Äá °Å·¡¼Ò,20221231,20221231
467,06639,06639.HK,È«Äá °Å·¡¼Ò,20220930,20220930
468,02117,02117.HK,È«Äá °Å·¡¼Ò,20220630,20220630
469,06820,06820.HK,È«Äá °Å·¡¼Ò,20221231,20221231
470,08087,08087.HK,È«Äá °Å·¡¼Ò,20230331,20230331
471,06668,06668.HK,È«Äá °Å·¡¼Ò,20221231,20221231
472,09608,09608.HK,È«Äá °Å·¡¼Ò,20221231,20221231
473,02209,02209.HK,È«Äá °Å·¡¼Ò,20221231,20221231
474,01965,01965.HK,È«Äá °Å·¡¼Ò,20221231,20221231
475,09863,09863.HK,È«Äá °Å·¡¼Ò,20221231,20221231
476,00899,00899.HK,È«Äá °Å·¡¼Ò,20220930,20220930
477,01759,01759.HK,È«Äá °Å·¡¼Ò,20221231,20221231
478,03393,03393.HK,È«Äá °Å·¡¼Ò,20221231,20221231
479,09966,09966.HK,È«Äá °Å·¡¼Ò,20221231,20221231
480,03390,03390.HK,È«Äá °Å·¡¼Ò,20221231,20221231
481,06622,06622.HK,È«Äá °Å·¡¼Ò,20221231,20221231
482,01156,01156.HK,È«Äá °Å·¡¼Ò,20221231,20221231
483,09982,09982.HK,È«Äá °Å·¡¼Ò,20221231,20221231
484,01463,01463.HK,È«Äá °Å·¡¼Ò,20221231,20221231
485,02167,02167.HK,È«Äá °Å·¡¼Ò,20221231,20221231
486,02148,02148.HK,È«Äá °Å·¡¼Ò,20221231,20221231
487,01490,01490.HK,È«Äá °Å·¡¼Ò,20221231,20221231
488,02057,02057.HK,È«Äá °Å·¡¼Ò,20230331,20230331
489,09968,09968.HK,È«Äá °Å·¡¼Ò,20220630,20220630
490,00587,00587.HK,È«Äá °Å·¡¼Ò,20221231,20221231
491,06913,06913.HK,È«Äá °Å·¡¼Ò,20221231,20221231
493,06078,06078.HK,È«Äá °Å·¡¼Ò,20221231,20221231
495,00368,00368.HK,È«Äá °Å·¡¼Ò,20221231,20221231
496,02772,02772.HK,È«Äá °Å·¡¼Ò,20221231,20221231
497,02191,02191.HK,È«Äá °Å·¡¼Ò,20221231,20221231
498,01667,01667.HK,È«Äá °Å·¡¼Ò,20220930,20220930
499,02295,02295.HK,È«Äá °Å·¡¼Ò,20221231,20221231
500,01516,01516.HK,È«Äá °Å·¡¼Ò,20221231,20221231
501,06805,06805.HK,È«Äá °Å·¡¼Ò,20221231,20221231
502,06601,06601.HK,È«Äá °Å·¡¼Ò,20221231,20221231
503,09857,09857.HK,È«Äá °Å·¡¼Ò,20221231,20221231
504,00060,00060.HK,È«Äá °Å·¡¼Ò,20220930,20220930
505,02361,02361.HK,È«Äá °Å·¡¼Ò,20221231,20221231
506,09699,09699.HK,È«Äá °Å·¡¼Ò,20221231,20221231
507,06699,06699.HK,È«Äá °Å·¡¼Ò,20221231,20221231
508,03316,03316.HK,È«Äá °Å·¡¼Ò,20221231,20221231
509,01769,01769.HK,È«Äá °Å·¡¼Ò,20221231,20221231
510,02161,02161.HK,È«Äá °Å·¡¼Ò,20230331,20230331
511,01283,01283.HK,È«Äá °Å·¡¼Ò,20220930,20220930
512,07836,07836.HK,È«Äá °Å·¡¼Ò,20221231,20221231
513,06996,06996.HK,È«Äá °Å·¡¼Ò,20221231,20221231
514,06609,06609.HK,È«Äá °Å·¡¼Ò,20221231,20221231
515,01745,01745.HK,È«Äá °Å·¡¼Ò,20221231,20221231
516,01901,01901.HK,È«Äá °Å·¡¼Ò,20221231,20221231
517,01413,01413.HK,È«Äá °Å·¡¼Ò,20220930,20220930
518,01917,01917.HK,È«Äá °Å·¡¼Ò,20221231,20221231
519,02251,02251.HK,È«Äá °Å·¡¼Ò,20221231,20221231
520,06969,06969.HK,È«Äá °Å·¡¼Ò,20221231,20221231
521,02197,02197.HK,È«Äá °Å·¡¼Ò,20221231,20221231
522,09986,09986.HK,È«Äá °Å·¡¼Ò,20220630,20220630
523,06900,06900.HK,È«Äá °Å·¡¼Ò,20221231,20221231
524,06623,06623.HK,È«Äá °Å·¡¼Ò,20230331,20230331
525,01650,01650.HK,È«Äá °Å·¡¼Ò,20221231,20221231
526,02163,02163.HK,È«Äá °Å·¡¼Ò,20221231,20221231
527,01981,01981.HK,È«Äá °Å·¡¼Ò,20221231,20221231
528,06955,06955.HK,È«Äá °Å·¡¼Ò,20221231,20221231
529,01204,01204.HK,È«Äá °Å·¡¼Ò,20221231,20221231
530,09869,09869.HK,È«Äá °Å·¡¼Ò,20221231,20221231
531,01897,01897.HK,È«Äá °Å·¡¼Ò,20230331,20230331
532,06666,06666.HK,È«Äá °Å·¡¼Ò,20221231,20221231
533,01163,01163.HK,È«Äá °Å·¡¼Ò,20221231,20221231
534,00055,00055.HK,È«Äá °Å·¡¼Ò,20221231,20221231
535,09939,09939.HK,È«Äá °Å·¡¼Ò,20221231,20221231
536,02135,02135.HK,È«Äá °Å·¡¼Ò,20221231,20221231
537,01940,01940.HK,È«Äá °Å·¡¼Ò,20221231,20221231
538,01442,01442.HK,È«Äá °Å·¡¼Ò,20221231,20221231
539,02386,02386.HK,È«Äá °Å·¡¼Ò,20221231,20221231
540,06610,06610.HK,È«Äá °Å·¡¼Ò,20221231,20221231
542,09928,09928.HK,È«Äá °Å·¡¼Ò,20221231,20221231
543,09989,09989.HK,È«Äá °Å·¡¼Ò,20221231,20221231
544,01942,01942.HK,È«Äá °Å·¡¼Ò,20221231,20221231
545,01429,01429.HK,È«Äá °Å·¡¼Ò,20220930,20220930
546,06821,06821.HK,È«Äá °Å·¡¼Ò,20230331,20230331
547,01847,01847.HK,È«Äá °Å·¡¼Ò,20221231,20221231
548,01821,01821.HK,È«Äá °Å·¡¼Ò,20221231,20221231
549,06690,06690.HK,È«Äá °Å·¡¼Ò,20221231,20221231
550,09996,09996.HK,È«Äá °Å·¡¼Ò,20221231,20221231
551,00854,00854.HK,È«Äá °Å·¡¼Ò,20230331,20230331
552,09896,09896.HK,È«Äá °Å·¡¼Ò,20230331,20230331
553,02469,02469.HK,È«Äá °Å·¡¼Ò,20221231,20221231
554,01930,01930.HK,È«Äá °Å·¡¼Ò,20221231,20221231
555,09969,09969.HK,È«Äá °Å·¡¼Ò,20221231,20221231
556,01961,01961.HK,È«Äá °Å·¡¼Ò,20221231,20221231
557,02168,02168.HK,È«Äá °Å·¡¼Ò,20221231,20221231
558,02528,02528.HK,È«Äá °Å·¡¼Ò,20221231,20221231
559,01859,01859.HK,È«Äá °Å·¡¼Ò,20220630,20220630
560,09998,09998.HK,È«Äá °Å·¡¼Ò,20221231,20221231
562,02060,02060.HK,È«Äá °Å·¡¼Ò,20221231,20221231
563,02101,02101.HK,È«Äá °Å·¡¼Ò,20221231,20221231
564,02402,02402.HK,È«Äá °Å·¡¼Ò,20230331,20230331
565,09933,09933.HK,È«Äá °Å·¡¼Ò,20221231,20221231
566,00980,00980.HK,È«Äá °Å·¡¼Ò,20221231,20221231
567,01217,01217.HK,È«Äá °Å·¡¼Ò,20221231,20221231
568,02256,02256.HK,È«Äá °Å·¡¼Ò,20221231,20221231
569,01563,01563.HK,È«Äá °Å·¡¼Ò,20221231,20221231
572,02147,02147.HK,È«Äá °Å·¡¼Ò,20221231,20221231
573,08659,08659.HK,È«Äá °Å·¡¼Ò,20230331,20230331
574,01950,01950.HK,È«Äá °Å·¡¼Ò,20221231,20221231
576,02500,02500.HK,È«Äá °Å·¡¼Ò,20221231,20221231
578,01645,01645.HK,È«Äá °Å·¡¼Ò,20221231,20221231
579,02411,02411.HK,È«Äá °Å·¡¼Ò,20221231,20221231
580,09600,09600.HK,È«Äá °Å·¡¼Ò,20221231,20221231
581,02618,02618.HK,È«Äá °Å·¡¼Ò,20230331,20230331
582,06819,06819.HK,È«Äá °Å·¡¼Ò,20221231,20221231
583,06918,06918.HK,È«Äá °Å·¡¼Ò,20220630,20220630
584,06919,06919.HK,È«Äá °Å·¡¼Ò,20221231,20221231
585,02216,02216.HK,È«Äá °Å·¡¼Ò,20221231,20221231
586,01199,01199.HK,È«Äá °Å·¡¼Ò,20230331,20230331
587,01860,01860.HK,È«Äá °Å·¡¼Ò,20230331,20230331
588,01115,01115.HK,È«Äá °Å·¡¼Ò,20221231,20221231
589,00589,00589.HK,È«Äá °Å·¡¼Ò,20221231,20221231
590,01675,01675.HK,È«Äá °Å·¡¼Ò,20221231,20221231
591,03759,03759.HK,È«Äá °Å·¡¼Ò,20221231,20221231
592,02270,02270.HK,È«Äá °Å·¡¼Ò,20221231,20221231
593,02170,02170.HK,È«Äá °Å·¡¼Ò,20221231,20221231
594,01937,01937.HK,È«Äá °Å·¡¼Ò,20221231,20221231
595,01502,01502.HK,È«Äá °Å·¡¼Ò,20221231,20221231
596,01593,01593.HK,È«Äá °Å·¡¼Ò,20230228,20230228
597,01959,01959.HK,È«Äá °Å·¡¼Ò,20221231,20221231
598,01425,01425.HK,È«Äá °Å·¡¼Ò,20221231,20221231
599,09911,09911.HK,È«Äá °Å·¡¼Ò,20221231,20221231
601,09955,09955.HK,È«Äá °Å·¡¼Ò,20221231,20221231
602,06127,06127.HK,È«Äá °Å·¡¼Ò,20221231,20221231
603,02291,02291.HK,È«Äá °Å·¡¼Ò,20221231,20221231
605,06063,06063.HK,È«Äá °Å·¡¼Ò,20220930,20220930
606,02869,02869.HK,È«Äá °Å·¡¼Ò,20221231,20221231
607,03928,03928.HK,È«Äá °Å·¡¼Ò,20230331,20230331
608,02321,02321.HK,È«Äá °Å·¡¼Ò,20221231,20221231
609,01601,01601.HK,È«Äá °Å·¡¼Ò,20221231,20221231
610,08500,08500.HK,È«Äá °Å·¡¼Ò,20230331,20230331
611,06939,06939.HK,È«Äá °Å·¡¼Ò,20221231,20221231
612,06611,06611.HK,È«Äá °Å·¡¼Ò,20221231,20221231
613,06998,06998.HK,È«Äá °Å·¡¼Ò,20221231,20221231
614,06993,06993.HK,È«Äá °Å·¡¼Ò,20221231,20221231
615,02246,02246.HK,È«Äá °Å·¡¼Ò,20221231,20221231
616,01134,01134.HK,È«Äá °Å·¡¼Ò,20221231,20221231
617,01949,01949.HK,È«Äá °Å·¡¼Ò,20221231,20221231
618,01955,01955.HK,È«Äá °Å·¡¼Ò,20220930,20220930
619,02450,02450.HK,È«Äá °Å·¡¼Ò,20221231,20221231
620,09918,09918.HK,È«Äá °Å·¡¼Ò,20221231,20221231
621,01832,01832.HK,È«Äá °Å·¡¼Ò,20221231,20221231
622,06661,06661.HK,È«Äá °Å·¡¼Ò,20221231,20221231
623,06933,06933.HK,È«Äá °Å·¡¼Ò,20221231,20221231
624,02130,02130.HK,È«Äá °Å·¡¼Ò,20221231,20221231
625,02185,02185.HK,È«Äá °Å·¡¼Ò,20221231,20221231
626,02096,02096.HK,È«Äá °Å·¡¼Ò,20221231,20221231
627,01921,01921.HK,È«Äá °Å·¡¼Ò,20221231,20221231
628,02239,02239.HK,È«Äá °Å·¡¼Ò,20221231,20221231
629,02127,02127.HK,È«Äá °Å·¡¼Ò,20221231,20221231
630,01846,01846.HK,È«Äá °Å·¡¼Ò,20221231,20221231
631,09923,09923.HK,È«Äá °Å·¡¼Ò,20221231,20221231
632,01683,01683.HK,È«Äá °Å·¡¼Ò,20221231,20221231
634,06806,06806.HK,È«Äá °Å·¡¼Ò,20221231,20221231
635,00909,00909.HK,È«Äá °Å·¡¼Ò,20221231,20221231
636,02350,02350.HK,È«Äá °Å·¡¼Ò,20220930,20220930
637,09616,09616.HK,È«Äá °Å·¡¼Ò,20221231,20221231
638,09958,09958.HK,È«Äá °Å·¡¼Ò,20221231,20221231
639,02145,02145.HK,È«Äá °Å·¡¼Ò,20221231,20221231
640,06193,06193.HK,È«Äá °Å·¡¼Ò,20221231,20221231
641,00382,00382.HK,È«Äá °Å·¡¼Ò,20230228,20230228
642,02418,02418.HK,È«Äá °Å·¡¼Ò,20221231,20221231
643,01024,01024.HK,È«Äá °Å·¡¼Ò,20230331,20230331
644,01542,01542.HK,È«Äá °Å·¡¼Ò,20221231,20221231
645,00474,00474.HK,È«Äá °Å·¡¼Ò,20220930,20220930
646,01426,01426.HK,È«Äá °Å·¡¼Ò,20221231,20221231
647,09666,09666.HK,È«Äá °Å·¡¼Ò,20221231,20221231
648,01553,01553.HK,È«Äá °Å·¡¼Ò,20221231,20221231
649,00092,00092.HK,È«Äá °Å·¡¼Ò,20221231,20221231
651,01179,01179.HK,È«Äá °Å·¡¼Ò,20230331,20230331
652,06669,06669.HK,È«Äá °Å·¡¼Ò,20221231,20221231
653,08178,08178.HK,È«Äá °Å·¡¼Ò,20230331,20230331
654,02427,02427.HK,È«Äá °Å·¡¼Ò,20221231,20221231
655,09906,09906.HK,È«Äá °Å·¡¼Ò,20221231,20221231
656,03348,03348.HK,È«Äá °Å·¡¼Ò,20221231,20221231
657,01853,01853.HK,È«Äá °Å·¡¼Ò,20221231,20221231
658,01925,01925.HK,È«Äá °Å·¡¼Ò,20221231,20221231
659,01871,01871.HK,È«Äá °Å·¡¼Ò,20221231,20221231
660,02421,02421.HK,È«Äá °Å·¡¼Ò,20220930,20220930
661,02273,02273.HK,È«Äá °Å·¡¼Ò,20221231,20221231
662,02121,02121.HK,È«Äá °Å·¡¼Ò,20221231,20221231
663,02180,02180.HK,È«Äá °Å·¡¼Ò,20221231,20221231
664,09993,09993.HK,È«Äá °Å·¡¼Ò,20221231,20221231
665,01922,01922.HK,È«Äá °Å·¡¼Ò,20221231,20221231
666,09991,09991.HK,È«Äá °Å·¡¼Ò,20230331,20230331
667,02207,02207.HK,È«Äá °Å·¡¼Ò,20221231,20221231
668,02169,02169.HK,È«Äá °Å·¡¼Ò,20221231,20221231
669,02250,02250.HK,È«Äá °Å·¡¼Ò,20221231,20221231
670,09977,09977.HK,È«Äá °Å·¡¼Ò,20221231,20221231
671,02156,02156.HK,È«Äá °Å·¡¼Ò,20221231,20221231
672,01920,01920.HK,È«Äá °Å·¡¼Ò,20221231,20221231
673,02187,02187.HK,È«Äá °Å·¡¼Ò,20221231,20221231
674,02231,02231.HK,È«Äá °Å·¡¼Ò,20221231,20221231
675,03668,03668.HK,È«Äá °Å·¡¼Ò,20221231,20221231
676,00529,00529.HK,È«Äá °Å·¡¼Ò,20221231,20221231
677,02217,02217.HK,È«Äá °Å·¡¼Ò,20230331,20230331
678,00606,00606.HK,È«Äá °Å·¡¼Ò,20221231,20221231
679,01895,01895.HK,È«Äá °Å·¡¼Ò,20220630,20220630
680,09618,09618.HK,È«Äá °Å·¡¼Ò,20230331,20230331
681,08208,08208.HK,È«Äá °Å·¡¼Ò,20230331,20230331
682,09922,09922.HK,È«Äá °Å·¡¼Ò,20221231,20221231
684,01084,01084.HK,È«Äá °Å·¡¼Ò,20221231,20221231
685,01802,01802.HK,È«Äá °Å·¡¼Ò,20211231,20211231
686,00842,00842.HK,È«Äá °Å·¡¼Ò,20221231,20221231
687,01153,01153.HK,È«Äá °Å·¡¼Ò,20220630,20220630
688,08657,08657.HK,È«Äá °Å·¡¼Ò,20230331,20230331
689,01401,01401.HK,È«Äá °Å·¡¼Ò,20221231,20221231
690,00746,00746.HK,È«Äá °Å·¡¼Ò,20221231,20221231
691,02285,02285.HK,È«Äá °Å·¡¼Ò,20221231,20221231
692,01379,01379.HK,È«Äá °Å·¡¼Ò,20221231,20221231
694,02179,02179.HK,È«Äá °Å·¡¼Ò,20221231,20221231
695,01473,01473.HK,È«Äá °Å·¡¼Ò,20220930,20220930
697,00544,00544.HK,È«Äá °Å·¡¼Ò,20221231,20221231
698,06811,06811.HK,È«Äá °Å·¡¼Ò,20221231,20221231
699,02142,02142.HK,È«Äá °Å·¡¼Ò,20221231,20221231
701,09668,09668.HK,È«Äá °Å·¡¼Ò,20221231,20221231
702,01855,01855.HK,È«Äá °Å·¡¼Ò,20221231,20221231
703,01666,01666.HK,È«Äá °Å·¡¼Ò,20221231,20221231
704,01412,01412.HK,È«Äá °Å·¡¼Ò,20221231,20221231
705,03931,03931.HK,È«Äá °Å·¡¼Ò,20221231,20221231
706,09997,09997.HK,È«Äá °Å·¡¼Ò,20221231,20221231
707,08051,08051.HK,È«Äá °Å·¡¼Ò,20230331,20230331
708,06199,06199.HK,È«Äá °Å·¡¼Ò,20221231,20221231
709,01717,01717.HK,È«Äá °Å·¡¼Ò,20221231,20221231
711,00838,00838.HK,È«Äá °Å·¡¼Ò,20221231,20221231
712,02558,02558.HK,È«Äá °Å·¡¼Ò,20221231,20221231
713,01839,01839.HK,È«Äá °Å·¡¼Ò,20220331,20220331
714,09868,09868.HK,È«Äá °Å·¡¼Ò,20230331,20230331
715,03833,03833.HK,È«Äá °Å·¡¼Ò,20221231,20221231
716,01147,01147.HK,È«Äá °Å·¡¼Ò,20221231,20221231
717,02195,02195.HK,È«Äá °Å·¡¼Ò,20221231,20221231
718,01943,01943.HK,È«Äá °Å·¡¼Ò,20230331,20230331
719,09990,09990.HK,È«Äá °Å·¡¼Ò,20221231,20221231
720,01967,01967.HK,È«Äá °Å·¡¼Ò,20221231,20221231
721,02381,02381.HK,È«Äá °Å·¡¼Ò,20221231,20221231
722,01167,01167.HK,È«Äá °Å·¡¼Ò,20221231,20221231
723,00160,00160.HK,È«Äá °Å·¡¼Ò,20220930,20220930
725,09899,09899.HK,È«Äá °Å·¡¼Ò,20221231,20221231
726,06677,06677.HK,È«Äá °Å·¡¼Ò,20221231,20221231
728,06616,06616.HK,È«Äá °Å·¡¼Ò,20221231,20221231
729,09877,09877.HK,È«Äá °Å·¡¼Ò,20221231,20221231
730,00884,00884.HK,È«Äá °Å·¡¼Ò,20221231,20221231
731,01692,01692.HK,È«Äá °Å·¡¼Ò,20221231,20221231
733,03913,03913.HK,È«Äá °Å·¡¼Ò,20221231,20221231
734,01455,01455.HK,È«Äá °Å·¡¼Ò,20220930,20220930
735,01902,01902.HK,È«Äá °Å·¡¼Ò,20221231,20221231
736,01906,01906.HK,È«Äá °Å·¡¼Ò,20221231,20221231
737,02132,02132.HK,È«Äá °Å·¡¼Ò,20220930,20220930
738,02599,02599.HK,È«Äá °Å·¡¼Ò,20220630,20220630
739,01343,01343.HK,È«Äá °Å·¡¼Ò,20221231,20221231
740,02436,02436.HK,È«Äá °Å·¡¼Ò,20220630,20220630
741,02409,02409.HK,È«Äá °Å·¡¼Ò,20221231,20221231
743,02177,02177.HK,È«Äá °Å·¡¼Ò,20221231,20221231
744,01449,01449.HK,È«Äá °Å·¡¼Ò,20230228,20230228
745,02125,02125.HK,È«Äá °Å·¡¼Ò,20221231,20221231
746,02359,02359.HK,È«Äá °Å·¡¼Ò,20230331,20230331
747,09913,09913.HK,È«Äá °Å·¡¼Ò,20220930,20220930
748,02155,02155.HK,È«Äá °Å·¡¼Ò,20221231,20221231
749,06628,06628.HK,È«Äá °Å·¡¼Ò,20221231,20221231
750,07841,07841.HK,È«Äá °Å·¡¼Ò,20221231,20221231
751,02215,02215.HK,È«Äá °Å·¡¼Ò,20221231,20221231
752,06606,06606.HK,È«Äá °Å·¡¼Ò,20221231,20221231
753,01597,01597.HK,È«Äá °Å·¡¼Ò,20221231,20221231
754,08668,08668.HK,È«Äá °Å·¡¼Ò,20230331,20230331
755,02171,02171.HK,È«Äá °Å·¡¼Ò,20221231,20221231
756,08646,08646.HK,È«Äá °Å·¡¼Ò,20230331,20230331
757,00302,00302.HK,È«Äá °Å·¡¼Ò,20221231,20221231
758,06600,06600.HK,È«Äá °Å·¡¼Ò,20221231,20221231
759,01440,01440.HK,È«Äá °Å·¡¼Ò,20221231,20221231
760,02400,02400.HK,È«Äá °Å·¡¼Ò,20221231,20221231
761,01346,01346.HK,È«Äá °Å·¡¼Ò,20221231,20221231
762,08623,08623.HK,È«Äá °Å·¡¼Ò,20230331,20230331
763,00085,00085.HK,È«Äá °Å·¡¼Ò,20221231,20221231
764,06988,06988.HK,È«Äá °Å·¡¼Ò,20221231,20221231
765,06626,06626.HK,È«Äá °Å·¡¼Ò,20221231,20221231
766,01936,01936.HK,È«Äá °Å·¡¼Ò,20221231,20221231
767,06958,06958.HK,È«Äá °Å·¡¼Ò,20221231,20221231
768,01640,01640.HK,È«Äá °Å·¡¼Ò,20221231,20221231
769,08003,08003.HK,È«Äá °Å·¡¼Ò,20221231,20221231
770,03347,03347.HK,È«Äá °Å·¡¼Ò,20221231,20221231
771,09988,09988.HK,È«Äá °Å·¡¼Ò,20230331,20230331
772,02157,02157.HK,È«Äá °Å·¡¼Ò,20221231,20221231
773,00775,00775.HK,È«Äá °Å·¡¼Ò,20221231,20221231
774,02602,02602.HK,È«Äá °Å·¡¼Ò,20221231,20221231
775,01119,01119.HK,È«Äá °Å·¡¼Ò,20221231,20221231
776,02189,02189.HK,È«Äá °Å·¡¼Ò,20220930,20220930
777,02373,02373.HK,È«Äá °Å·¡¼Ò,20221231,20221231
778,00873,00873.HK,È«Äá °Å·¡¼Ò,20221231,20221231
779,01525,01525.HK,È«Äá °Å·¡¼Ò,20221231,20221231
780,06093,06093.HK,È«Äá °Å·¡¼Ò,20221231,20221231
781,02265,02265.HK,È«Äá °Å·¡¼Ò,20221231,20221231
782,02718,02718.HK,È«Äá °Å·¡¼Ò,20221231,20221231
783,01740,01740.HK,È«Äá °Å·¡¼Ò,20221231,20221231
784,06186,06186.HK,È«Äá °Å·¡¼Ò,20221231,20221231
785,03828,03828.HK,È«Äá °Å·¡¼Ò,20221231,20221231
786,08418,08418.HK,È«Äá °Å·¡¼Ò,20230331,20230331
787,02260,02260.HK,È«Äá °Å·¡¼Ò,20221231,20221231
788,01521,01521.HK,È«Äá °Å·¡¼Ò,20221231,20221231
789,02376,02376.HK,È«Äá °Å·¡¼Ò,20221231,20221231
790,02459,02459.HK,È«Äá °Å·¡¼Ò,20221231,20221231
791,01957,01957.HK,È«Äá °Å·¡¼Ò,20221231,20221231
792,01691,01691.HK,È«Äá °Å·¡¼Ò,20221231,20221231
793,02315,02315.HK,È«Äá °Å·¡¼Ò,20221231,20221231
794,01643,01643.HK,È«Äá °Å·¡¼Ò,20221231,20221231
795,01719,01719.HK,È«Äá °Å·¡¼Ò,20221231,20221231
796,03680,03680.HK,È«Äá °Å·¡¼Ò,20221231,20221231
797,01876,01876.HK,È«Äá °Å·¡¼Ò,20230331,20230331
798,09909,09909.HK,È«Äá °Å·¡¼Ò,20221231,20221231
799,08282,08282.HK,È«Äá °Å·¡¼Ò,20230331,20230331
800,02392,02392.HK,È«Äá °Å·¡¼Ò,20221231,20221231
801,09929,09929.HK,È«Äá °Å·¡¼Ò,20221231,20221231
802,01870,01870.HK,È«Äá °Å·¡¼Ò,20221231,20221231
803,00199,00199.HK,È«Äá °Å·¡¼Ò,20220930,20220930
804,03662,03662.HK,È«Äá °Å·¡¼Ò,20221231,20221231
806,01146,01146.HK,È«Äá °Å·¡¼Ò,20221231,20221231
807,00020,00020.HK,È«Äá °Å·¡¼Ò,20221231,20221231
808,01376,01376.HK,È«Äá °Å·¡¼Ò,20221231,20221231
809,01351,01351.HK,È«Äá °Å·¡¼Ò,20221231,20221231
810,09995,09995.HK,È«Äá °Å·¡¼Ò,20221231,20221231
811,01416,01416.HK,È«Äá °Å·¡¼Ò,20230228,20230228
812,03658,03658.HK,È«Äá °Å·¡¼Ò,20221231,20221231
813,02165,02165.HK,È«Äá °Å·¡¼Ò,20221231,20221231
814,01845,01845.HK,È«Äá °Å·¡¼Ò,20221231,20221231
815,00314,00314.HK,È«Äá °Å·¡¼Ò,20221231,20221231
816,01927,01927.HK,È«Äá °Å·¡¼Ò,20221231,20221231
817,06117,06117.HK,È«Äá °Å·¡¼Ò,20221231,20221231
