i,ÀÌ¸§, ÄÚµå, °Å·¡¼Ò, koscom_day, naver_day
94,00353,00353.HK,È«Äá °Å·¡¼Ò,20220930,20220930
95,01548,01548.HK,È«Äá °Å·¡¼Ò,20221231,20221231
96,02708,02708.HK,È«Äá °Å·¡¼Ò,20220930,20220930
97,01475,01475.HK,È«Äá °Å·¡¼Ò,20230331,20230331
98,02269,02269.HK,È«Äá °Å·¡¼Ò,20221231,20221231
99,00467,00467.HK,È«Äá °Å·¡¼Ò,20221231,20221231
100,08480,08480.HK,È«Äá °Å·¡¼Ò,20230331,20230331
101,06038,06038.HK,È«Äá °Å·¡¼Ò,20221231,20221231
102,02448,02448.HK,È«Äá °Å·¡¼Ò,20221231,20221231
103,08612,08612.HK,È«Äá °Å·¡¼Ò,20230331,20230331
104,01720,01720.HK,È«Äá °Å·¡¼Ò,20221231,20221231
105,03878,03878.HK,È«Äá °Å·¡¼Ò,20220930,20220930
106,00788,00788.HK,È«Äá °Å·¡¼Ò,20221231,20221231
107,01481,01481.HK,È«Äá °Å·¡¼Ò,20221231,20221231
108,08437,08437.HK,È«Äá °Å·¡¼Ò,20221231,20221231
109,06829,06829.HK,È«Äá °Å·¡¼Ò,20220930,20220930
110,08448,08448.HK,È«Äá °Å·¡¼Ò,20221231,20221231
111,02778,02778.HK,È«Äá °Å·¡¼Ò,20221231,20221231
112,08476,08476.HK,È«Äá °Å·¡¼Ò,20230331,20230331
113,01763,01763.HK,È«Äá °Å·¡¼Ò,20221231,20221231
114,06118,06118.HK,È«Äá °Å·¡¼Ò,20221231,20221231
116,01931,01931.HK,È«Äá °Å·¡¼Ò,20221231,20221231
117,02292,02292.HK,È«Äá °Å·¡¼Ò,20221231,20221231
119,00784,00784.HK,È«Äá °Å·¡¼Ò,20220930,20220930
121,06928,06928.HK,È«Äá °Å·¡¼Ò,20221231,20221231
122,01693,01693.HK,È«Äá °Å·¡¼Ò,20220930,20220930
123,00151,00151.HK,È«Äá °Å·¡¼Ò,20220930,20220930
124,03738,03738.HK,È«Äá °Å·¡¼Ò,20221231,20221231
125,08065,08065.HK,È«Äá °Å·¡¼Ò,20230331,20230331
126,08377,08377.HK,È«Äá °Å·¡¼Ò,20230331,20230331
128,02122,02122.HK,È«Äá °Å·¡¼Ò,20221231,20221231
130,09985,09985.HK,È«Äá °Å·¡¼Ò,20221231,20221231
131,01300,01300.HK,È«Äá °Å·¡¼Ò,20221231,20221231
132,08257,08257.HK,È«Äá °Å·¡¼Ò,20230331,20230331
133,08287,08287.HK,È«Äá °Å·¡¼Ò,20220630,20220630
134,06182,06182.HK,È«Äá °Å·¡¼Ò,20220930,20220930
135,02683,02683.HK,È«Äá °Å·¡¼Ò,20230331,20230331
136,08285,08285.HK,È«Äá °Å·¡¼Ò,20230331,20230331
137,06036,06036.HK,È«Äá °Å·¡¼Ò,20221231,20221231
139,08450,08450.HK,È«Äá °Å·¡¼Ò,20230331,20230331
141,06881,06881.HK,È«Äá °Å·¡¼Ò,20221231,20221231
143,08136,08136.HK,È«Äá °Å·¡¼Ò,20230331,20230331
144,08501,08501.HK,È«Äá °Å·¡¼Ò,20221231,20221231
145,08040,08040.HK,È«Äá °Å·¡¼Ò,20221231,20221231
146,02022,02022.HK,È«Äá °Å·¡¼Ò,20221231,20221231
147,08483,08483.HK,È«Äá °Å·¡¼Ò,20230331,20230331
148,02182,02182.HK,È«Äá °Å·¡¼Ò,20221231,20221231
149,01183,01183.HK,È«Äá °Å·¡¼Ò,20221231,20221231
150,01427,01427.HK,È«Äá °Å·¡¼Ò,20221231,20221231
151,08456,08456.HK,È«Äá °Å·¡¼Ò,20221231,20221231
152,08535,08535.HK,È«Äá °Å·¡¼Ò,20230331,20230331
153,08536,08536.HK,È«Äá °Å·¡¼Ò,20230331,20230331
154,03309,03309.HK,È«Äá °Å·¡¼Ò,20221231,20221231
155,08117,08117.HK,È«Äá °Å·¡¼Ò,20230331,20230331
156,01735,01735.HK,È«Äá °Å·¡¼Ò,20221231,20221231
157,08473,08473.HK,È«Äá °Å·¡¼Ò,20230331,20230331
158,08523,08523.HK,È«Äá °Å·¡¼Ò,20221231,20221231
159,08426,08426.HK,È«Äá °Å·¡¼Ò,20230331,20230331
160,08422,08422.HK,È«Äá °Å·¡¼Ò,20230331,20230331
161,08313,08313.HK,È«Äá °Å·¡¼Ò,20230331,20230331
162,02863,02863.HK,È«Äá °Å·¡¼Ò,20230331,20230331
163,01729,01729.HK,È«Äá °Å·¡¼Ò,20220930,20220930
164,01706,01706.HK,È«Äá °Å·¡¼Ò,20221231,20221231
165,01722,01722.HK,È«Äá °Å·¡¼Ò,20221231,20221231
166,01737,01737.HK,È«Äá °Å·¡¼Ò,20220930,20220930
167,08367,08367.HK,È«Äá °Å·¡¼Ò,20221231,20221231
168,01825,01825.HK,È«Äá °Å·¡¼Ò,20220930,20220930
169,08107,08107.HK,È«Äá °Å·¡¼Ò,20230331,20230331
170,00732,00732.HK,È«Äá °Å·¡¼Ò,20221231,20221231
172,08527,08527.HK,È«Äá °Å·¡¼Ò,20230331,20230331
173,03699,03699.HK,È«Äá °Å·¡¼Ò,20221231,20221231
175,01750,01750.HK,È«Äá °Å·¡¼Ò,20221231,20221231
176,08487,08487.HK,È«Äá °Å·¡¼Ò,20230331,20230331
177,00839,00839.HK,È«Äá °Å·¡¼Ò,20230228,20230228
178,08401,08401.HK,È«Äá °Å·¡¼Ò,20230331,20230331
179,01978,01978.HK,È«Äá °Å·¡¼Ò,20221231,20221231
180,01628,01628.HK,È«Äá °Å·¡¼Ò,20221231,20221231
181,01451,01451.HK,È«Äá °Å·¡¼Ò,20221231,20221231
182,08103,08103.HK,È«Äá °Å·¡¼Ò,20221231,20221231
183,08510,08510.HK,È«Äá °Å·¡¼Ò,20230331,20230331
184,02025,02025.HK,È«Äá °Å·¡¼Ò,20221231,20221231
185,08532,08532.HK,È«Äá °Å·¡¼Ò,20230331,20230331
186,09926,09926.HK,È«Äá °Å·¡¼Ò,20221231,20221231
187,01665,01665.HK,È«Äá °Å·¡¼Ò,20230331,20230331
188,01651,01651.HK,È«Äá °Å·¡¼Ò,20220930,20220930
189,01582,01582.HK,È«Äá °Å·¡¼Ò,20221231,20221231
190,01723,01723.HK,È«Äá °Å·¡¼Ò,20220930,20220930
191,08490,08490.HK,È«Äá °Å·¡¼Ò,20230331,20230331
192,08436,08436.HK,È«Äá °Å·¡¼Ò,20230331,20230331
193,02139,02139.HK,È«Äá °Å·¡¼Ò,20221231,20221231
194,08053,08053.HK,È«Äá °Å·¡¼Ò,20221231,20221231
195,08168,08168.HK,È«Äá °Å·¡¼Ò,20230331,20230331
196,08445,08445.HK,È«Äá °Å·¡¼Ò,20221231,20221231
197,02298,02298.HK,È«Äá °Å·¡¼Ò,20221231,20221231
198,08188,08188.HK,È«Äá °Å·¡¼Ò,20230331,20230331
199,08391,08391.HK,È«Äá °Å·¡¼Ò,20230331,20230331
200,08140,08140.HK,È«Äá °Å·¡¼Ò,20230331,20230331
201,08043,08043.HK,È«Äá °Å·¡¼Ò,20230331,20230331
202,03319,03319.HK,È«Äá °Å·¡¼Ò,20221231,20221231
203,01402,01402.HK,È«Äá °Å·¡¼Ò,20230331,20230331
204,09936,09936.HK,È«Äá °Å·¡¼Ò,20221231,20221231
205,00970,00970.HK,È«Äá °Å·¡¼Ò,20220930,20220930
206,08372,08372.HK,È«Äá °Å·¡¼Ò,20230331,20230331
207,08151,08151.HK,È«Äá °Å·¡¼Ò,20220930,20220930
208,06158,06158.HK,È«Äá °Å·¡¼Ò,20221231,20221231
209,08146,08146.HK,È«Äá °Å·¡¼Ò,20230331,20230331
210,01615,01615.HK,È«Äá °Å·¡¼Ò,20221231,20221231
211,08511,08511.HK,È«Äá °Å·¡¼Ò,20221231,20221231
212,02458,02458.HK,È«Äá °Å·¡¼Ò,20221231,20221231
213,01635,01635.HK,È«Äá °Å·¡¼Ò,20221231,20221231
214,08507,08507.HK,È«Äá °Å·¡¼Ò,20221231,20221231
215,02116,02116.HK,È«Äá °Å·¡¼Ò,20221231,20221231
216,01713,01713.HK,È«Äá °Å·¡¼Ò,20221231,20221231
217,08017,08017.HK,È«Äá °Å·¡¼Ò,20230331,20230331
218,08512,08512.HK,È«Äá °Å·¡¼Ò,20230331,20230331
219,08540,08540.HK,È«Äá °Å·¡¼Ò,20230331,20230331
221,01598,01598.HK,È«Äá °Å·¡¼Ò,20221231,20221231
222,01715,01715.HK,È«Äá °Å·¡¼Ò,20221231,20221231
223,00772,00772.HK,È«Äá °Å·¡¼Ò,20221231,20221231
224,08373,08373.HK,È«Äá °Å·¡¼Ò,20230331,20230331
225,01620,01620.HK,È«Äá °Å·¡¼Ò,20221231,20221231
226,02611,02611.HK,È«Äá °Å·¡¼Ò,20221231,20221231
227,06133,06133.HK,È«Äá °Å·¡¼Ò,20221231,20221231
228,01752,01752.HK,È«Äá °Å·¡¼Ò,20221231,20221231
229,02779,02779.HK,È«Äá °Å·¡¼Ò,20221231,20221231
230,02858,02858.HK,È«Äá °Å·¡¼Ò,20221231,20221231
231,01997,01997.HK,È«Äá °Å·¡¼Ò,20221231,20221231
232,08403,08403.HK,È«Äá °Å·¡¼Ò,20230331,20230331
233,08305,08305.HK,È«Äá °Å·¡¼Ò,20230331,20230331
234,08451,08451.HK,È«Äá °Å·¡¼Ò,20230331,20230331
235,02219,02219.HK,È«Äá °Å·¡¼Ò,20221231,20221231
236,01592,01592.HK,È«Äá °Å·¡¼Ò,20221231,20221231
237,08357,08357.HK,È«Äá °Å·¡¼Ò,20230331,20230331
238,01587,01587.HK,È«Äá °Å·¡¼Ò,20221231,20221231
239,02227,02227.HK,È«Äá °Å·¡¼Ò,20221231,20221231
240,08482,08482.HK,È«Äá °Å·¡¼Ò,20221231,20221231
241,08379,08379.HK,È«Äá °Å·¡¼Ò,20230331,20230331
242,00662,00662.HK,È«Äá °Å·¡¼Ò,20221231,20221231
243,08631,08631.HK,È«Äá °Å·¡¼Ò,20230331,20230331
244,08622,08622.HK,È«Äá °Å·¡¼Ò,20230331,20230331
245,01705,01705.HK,È«Äá °Å·¡¼Ò,20220930,20220930
246,01727,01727.HK,È«Äá °Å·¡¼Ò,20221231,20221231
247,08545,08545.HK,È«Äá °Å·¡¼Ò,20221231,20221231
248,00582,00582.HK,È«Äá °Å·¡¼Ò,20221231,20221231
249,08502,08502.HK,È«Äá °Å·¡¼Ò,20230331,20230331
250,01730,01730.HK,È«Äá °Å·¡¼Ò,20230331,20230331
251,08525,08525.HK,È«Äá °Å·¡¼Ò,20230331,20230331
253,08513,08513.HK,È«Äá °Å·¡¼Ò,20230331,20230331
254,08509,08509.HK,È«Äá °Å·¡¼Ò,20230331,20230331
255,01756,01756.HK,È«Äá °Å·¡¼Ò,20230228,20230228
256,01711,01711.HK,È«Äá °Å·¡¼Ò,20220930,20220930
257,08519,08519.HK,È«Äá °Å·¡¼Ò,20230331,20230331
258,09900,09900.HK,È«Äá °Å·¡¼Ò,20220930,20220930
259,01772,01772.HK,È«Äá °Å·¡¼Ò,20221231,20221231
260,00526,00526.HK,È«Äá °Å·¡¼Ò,20220930,20220930
261,01820,01820.HK,È«Äá °Å·¡¼Ò,20221231,20221231
262,01815,01815.HK,È«Äá °Å·¡¼Ò,20221231,20221231
263,01969,01969.HK,È«Äá °Å·¡¼Ò,20230228,20230228
264,01034,01034.HK,È«Äá °Å·¡¼Ò,20221231,20221231
265,08219,08219.HK,È«Äá °Å·¡¼Ò,20230331,20230331
266,02003,02003.HK,È«Äá °Å·¡¼Ò,20221231,20221231
267,01833,01833.HK,È«Äá °Å·¡¼Ò,20221231,20221231
268,01652,01652.HK,È«Äá °Å·¡¼Ò,20221231,20221231
269,08516,08516.HK,È«Äá °Å·¡¼Ò,20221231,20221231
270,01286,01286.HK,È«Äá °Å·¡¼Ò,20221231,20221231
271,06110,06110.HK,È«Äá °Å·¡¼Ò,20230228,20230228
272,08606,08606.HK,È«Äá °Å·¡¼Ò,20230331,20230331
273,01716,01716.HK,È«Äá °Å·¡¼Ò,20220930,20220930
274,01916,01916.HK,È«Äá °Å·¡¼Ò,20221231,20221231
275,01910,01910.HK,È«Äá °Å·¡¼Ò,20230331,20230331
276,01576,01576.HK,È«Äá °Å·¡¼Ò,20221231,20221231
277,08475,08475.HK,È«Äá °Å·¡¼Ò,20230228,20230228
278,01725,01725.HK,È«Äá °Å·¡¼Ò,20221231,20221231
279,00998,00998.HK,È«Äá °Å·¡¼Ò,20230331,20230331
280,01760,01760.HK,È«Äá °Å·¡¼Ò,20221231,20221231
281,00807,00807.HK,È«Äá °Å·¡¼Ò,20230331,20230331
282,08547,08547.HK,È«Äá °Å·¡¼Ò,20230331,20230331
283,02230,02230.HK,È«Äá °Å·¡¼Ò,20220930,20220930
284,01653,01653.HK,È«Äá °Å·¡¼Ò,20220930,20220930
285,01773,01773.HK,È«Äá °Å·¡¼Ò,20230228,20230228
286,08613,08613.HK,È«Äá °Å·¡¼Ò,20230331,20230331
287,08042,08042.HK,È«Äá °Å·¡¼Ò,20230331,20230331
288,08609,08609.HK,È«Äá °Å·¡¼Ò,20221231,20221231
289,03700,03700.HK,È«Äá °Å·¡¼Ò,20221231,20221231
290,01721,01721.HK,È«Äá °Å·¡¼Ò,20221231,20221231
291,01912,01912.HK,È«Äá °Å·¡¼Ò,20221231,20221231
292,02051,02051.HK,È«Äá °Å·¡¼Ò,20221231,20221231
293,08611,08611.HK,È«Äá °Å·¡¼Ò,20230228,20230228
294,01765,01765.HK,È«Äá °Å·¡¼Ò,20230228,20230228
295,08447,08447.HK,È«Äá °Å·¡¼Ò,20230331,20230331
296,01726,01726.HK,È«Äá °Å·¡¼Ò,20221231,20221231
297,01968,01968.HK,È«Äá °Å·¡¼Ò,20221231,20221231
298,01996,01996.HK,È«Äá °Å·¡¼Ò,20221231,20221231
299,06860,06860.HK,È«Äá °Å·¡¼Ò,20221231,20221231
300,02798,02798.HK,È«Äá °Å·¡¼Ò,20221231,20221231
301,01746,01746.HK,È«Äá °Å·¡¼Ò,20221231,20221231
302,08621,08621.HK,È«Äá °Å·¡¼Ò,20230331,20230331
303,01842,01842.HK,È«Äá °Å·¡¼Ò,20221231,20221231
304,06190,06190.HK,È«Äá °Å·¡¼Ò,20221231,20221231
305,02346,02346.HK,È«Äá °Å·¡¼Ò,20210630,20210630
306,01739,01739.HK,È«Äá °Å·¡¼Ò,20221231,20221231
307,01748,01748.HK,È«Äá °Å·¡¼Ò,20221231,20221231
308,00797,00797.HK,È«Äá °Å·¡¼Ò,20221231,20221231
309,02696,02696.HK,È«Äá °Å·¡¼Ò,20221231,20221231
310,06100,06100.HK,È«Äá °Å·¡¼Ò,20230331,20230331
311,01503,01503.HK,È«Äá °Å·¡¼Ò,20221231,20221231
312,01408,01408.HK,È«Äá °Å·¡¼Ò,20221231,20221231
314,01545,01545.HK,È«Äá °Å·¡¼Ò,20221231,20221231
315,01977,01977.HK,È«Äá °Å·¡¼Ò,20221231,20221231
316,06111,06111.HK,È«Äá °Å·¡¼Ò,20220630,20220630
317,02048,02048.HK,È«Äá °Å·¡¼Ò,20221231,20221231
318,01810,01810.HK,È«Äá °Å·¡¼Ò,20230331,20230331
319,02628,02628.HK,È«Äá °Å·¡¼Ò,20221231,20221231
320,01672,01672.HK,È«Äá °Å·¡¼Ò,20221231,20221231
321,01890,01890.HK,È«Äá °Å·¡¼Ò,20230228,20230228
322,08601,08601.HK,È«Äá °Å·¡¼Ò,20230331,20230331
323,02682,02682.HK,È«Äá °Å·¡¼Ò,20220930,20220930
324,01790,01790.HK,È«Äá °Å·¡¼Ò,20221231,20221231
325,06862,06862.HK,È«Äá °Å·¡¼Ò,20221231,20221231
326,01235,01235.HK,È«Äá °Å·¡¼Ò,20220930,20220930
327,01757,01757.HK,È«Äá °Å·¡¼Ò,20220930,20220930
328,06162,06162.HK,È«Äá °Å·¡¼Ò,20221231,20221231
329,02296,02296.HK,È«Äá °Å·¡¼Ò,20210630,20210630
330,01894,01894.HK,È«Äá °Å·¡¼Ò,20220930,20220930
331,01939,01939.HK,È«Äá °Å·¡¼Ò,20220930,20220930
332,02258,02258.HK,È«Äá °Å·¡¼Ò,20221231,20221231
334,06890,06890.HK,È«Äá °Å·¡¼Ò,20221231,20221231
335,00564,00564.HK,È«Äá °Å·¡¼Ò,20221231,20221231
336,03601,03601.HK,È«Äá °Å·¡¼Ò,20221231,20221231
337,06098,06098.HK,È«Äá °Å·¡¼Ò,20221231,20221231
338,08635,08635.HK,È«Äá °Å·¡¼Ò,20221231,20221231
339,06663,06663.HK,È«Äá °Å·¡¼Ò,20230331,20230331
340,01903,01903.HK,È«Äá °Å·¡¼Ò,20221231,20221231
341,01837,01837.HK,È«Äá °Å·¡¼Ò,20221231,20221231
342,08603,08603.HK,È«Äá °Å·¡¼Ò,20221231,20221231
343,00780,00780.HK,È«Äá °Å·¡¼Ò,20230331,20230331
344,03690,03690.HK,È«Äá °Å·¡¼Ò,20230331,20230331
346,01851,01851.HK,È«Äá °Å·¡¼Ò,20221231,20221231
347,01540,01540.HK,È«Äá °Å·¡¼Ò,20221231,20221231
348,01796,01796.HK,È«Äá °Å·¡¼Ò,20230331,20230331
349,08210,08210.HK,È«Äá °Å·¡¼Ò,20230331,20230331
350,01911,01911.HK,È«Äá °Å·¡¼Ò,20220630,20220630
351,01731,01731.HK,È«Äá °Å·¡¼Ò,20221231,20221231
352,01835,01835.HK,È«Äá °Å·¡¼Ò,20221231,20221231
353,01785,01785.HK,È«Äá °Å·¡¼Ò,20230331,20230331
354,01793,01793.HK,È«Äá °Å·¡¼Ò,20220930,20220930
355,03978,03978.HK,È«Äá °Å·¡¼Ò,20221231,20221231
356,01775,01775.HK,È«Äá °Å·¡¼Ò,20230131,20230131
357,02892,02892.HK,È«Äá °Å·¡¼Ò,20221231,20221231
358,03321,03321.HK,È«Äá °Å·¡¼Ò,20211231,20211231
359,01762,01762.HK,È«Äá °Å·¡¼Ò,20221231,20221231
360,01987,01987.HK,È«Äá °Å·¡¼Ò,20221231,20221231
361,01849,01849.HK,È«Äá °Å·¡¼Ò,20221231,20221231
362,09866,09866.HK,È«Äá °Å·¡¼Ò,20230331,20230331
363,02360,02360.HK,È«Äá °Å·¡¼Ò,20230331,20230331
364,02129,02129.HK,È«Äá °Å·¡¼Ò,20221231,20221231
365,08619,08619.HK,È«Äá °Å·¡¼Ò,20221231,20221231
366,01703,01703.HK,È«Äá °Å·¡¼Ò,20220930,20220930
367,08337,08337.HK,È«Äá °Å·¡¼Ò,20230331,20230331
368,01472,01472.HK,È«Äá °Å·¡¼Ò,20220930,20220930
369,06185,06185.HK,È«Äá °Å·¡¼Ò,20221231,20221231
370,08620,08620.HK,È«Äá °Å·¡¼Ò,20221231,20221231
371,01797,01797.HK,È«Äá °Å·¡¼Ò,20221130,20221130
