i,이름, 코드, 거래소, koscom_day, naver_day
1231,000893,000893.SZ,심천(선강퉁) 증권거래소,20230331,20221231
1465,002021,002021.SZ,심천(선강퉁) 증권거래소,20230331,20221231
1626,000796,000796.SZ,심천(선강퉁) 증권거래소,20230331,20220930
1787,000620,000620.SZ,심천(선강퉁) 증권거래소,20230331,20220930
1938,002157,002157.SZ,심천(선강퉁) 증권거래소,20230331,20220930
