i,이름, 코드, 거래소, koscom_day, naver_day
93,300785,300785.SZ,심천(선강퉁) 증권거래소,20230331,20230331
94,300745,300745.SZ,심천(선강퉁) 증권거래소,20230331,20230331
95,300724,300724.SZ,심천(선강퉁) 증권거래소,20230331,20230331
96,300740,300740.SZ,심천(선강퉁) 증권거래소,20230331,20230331
97,300856,300856.SZ,심천(선강퉁) 증권거래소,20230331,20230331
98,002681,002681.SZ,심천(선강퉁) 증권거래소,20230331,20230331
99,300783,300783.SZ,심천(선강퉁) 증권거래소,20230331,20230331
100,603357,603357.SS,상해(후강퉁) 증권거래소,20230331,20230331
101,603773,603773.SS,상해(후강퉁) 증권거래소,20230331,20230331
102,605266,605266.SS,상해(후강퉁) 증권거래소,20230331,20230331
103,603301,603301.SS,상해(후강퉁) 증권거래소,20230331,20230331
104,300788,300788.SZ,심천(선강퉁) 증권거래소,20230331,20230331
105,688111,688111.SS,상해(후강퉁) 증권거래소,20230331,20230331
106,300771,300771.SZ,심천(선강퉁) 증권거래소,20230331,20230331
107,300739,300739.SZ,심천(선강퉁) 증권거래소,20230331,20230331
108,600097,600097.SS,상해(후강퉁) 증권거래소,20230331,20230331
109,002906,002906.SZ,심천(선강퉁) 증권거래소,20230331,20230331
110,603267,603267.SS,상해(후강퉁) 증권거래소,20230331,20230331
111,603887,603887.SS,상해(후강퉁) 증권거래소,20230331,20230331
112,688029,688029.SS,상해(후강퉁) 증권거래소,20230331,20230331
113,300741,300741.SZ,심천(선강퉁) 증권거래소,20230331,20230331
114,300747,300747.SZ,심천(선강퉁) 증권거래소,20230331,20230331
115,301117,301117.SZ,심천(선강퉁) 증권거래소,20230331,20230331
117,002059,002059.SZ,심천(선강퉁) 증권거래소,20230331,20230331
118,688699,688699.SS,상해(후강퉁) 증권거래소,20230331,20230331
119,300699,300699.SZ,심천(선강퉁) 증권거래소,20230331,20230331
120,688202,688202.SS,상해(후강퉁) 증권거래소,20230331,20230331
121,301018,301018.SZ,심천(선강퉁) 증권거래소,20230331,20230331
122,688103,688103.SS,상해(후강퉁) 증권거래소,20230331,20230331
123,603693,603693.SS,상해(후강퉁) 증권거래소,20230331,20230331
125,600895,600895.SS,상해(후강퉁) 증권거래소,20230331,20230331
126,300758,300758.SZ,심천(선강퉁) 증권거래소,20230331,20230331
