i,코드,상품명,거래소
4067,OLA.TO,TIGER 차이나전기차SOLACTIVE,코스피
4394,PNT.O,피엔티,코스닥
4726,ROC.O,HANARO CAPEX설비투자iSelect,코스피
4727,ROCC.O,Broccoli Co Ltd,도쿄 거래소
4848,SBS,SBS,코스피
4856,SCD,에스씨디,코스닥
4924,SG,SG,코스닥
4925,SGA.O,SGA,코스닥
4987,SJM,SJM,코스피
5032,SM,에스엠,코스닥
5115,SPG,에스피지,코스닥
5232,STX.O,STX,코스피
5240,SUNH.O,Gosun Holding Co Ltd Class A,심천(선강퉁) 증권거래소
5459,TOAC.O,DKK-Toa Corp,도쿄 거래소
5471,TPC,TPC,코스닥
5563,TWEN.O,Care Twentyone Corp,도쿄 거래소
5848,VTRO.O,Vtron Group Co Ltd Class A,심천(선강퉁) 증권거래소
