i,코드,상품명,거래소,error
2028,00712.HK,00712,홍콩 거래소,unknown error
2099,0NOAH.K,,,unknown error
2135,087001.HK,,,unknown error
2143,0002594.SZ,,,unknown error
2156,0601633.SS,,,unknown error
2163,0603993.SS,,,unknown error
2272,0BABA.K,,,unknown error
2364,0601916.SS,,,unknown error
2405,0688236.SS,,,unknown error
2495,0001236.SZ,,,unknown error
2624,0YUMC.K,,,unknown error
