i,ÀÌ¸§, ÄÚµå, °Å·¡¼Ò, koscom_day, naver_day
2389,02212,02212.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2390,06866,06866.HK,È«Äá °Å·¡¼Ò,20230331,20230331
2391,03708,03708.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2392,01993,01993.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2393,01362,01362.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2394,06161,06161.HK,È«Äá °Å·¡¼Ò,20210630,20210630
2395,06822,06822.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2396,08139,08139.HK,È«Äá °Å·¡¼Ò,20230331,20230331
2397,01245,01245.HK,È«Äá °Å·¡¼Ò,20230331,20230331
2398,01327,01327.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2399,01027,01027.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2400,08093,08093.HK,È«Äá °Å·¡¼Ò,20230331,20230331
2401,02686,02686.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2402,08277,08277.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2403,01606,01606.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2404,00442,00442.HK,È«Äá °Å·¡¼Ò,20220930,20220930
2406,01566,01566.HK,È«Äá °Å·¡¼Ò,20220930,20220930
2407,06896,06896.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2408,01460,01460.HK,È«Äá °Å·¡¼Ò,20220930,20220930
2409,01539,01539.HK,È«Äá °Å·¡¼Ò,20220930,20220930
2410,01508,01508.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2411,01559,01559.HK,È«Äá °Å·¡¼Ò,20220930,20220930
2412,01776,01776.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2414,08133,08133.HK,È«Äá °Å·¡¼Ò,20230331,20230331
2415,01799,01799.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2416,01470,01470.HK,È«Äá °Å·¡¼Ò,20221031,20221031
2417,01113,01113.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2418,06839,06839.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2419,01301,01301.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2420,06886,06886.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2421,08121,08121.HK,È«Äá °Å·¡¼Ò,20230331,20230331
2422,00804,00804.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2423,03919,03919.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2424,01970,01970.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2425,00574,00574.HK,È«Äá °Å·¡¼Ò,20211231,20211231
2426,03866,03866.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2427,06099,06099.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2428,03839,03839.HK,È«Äá °Å·¡¼Ò,20230331,20230331
2429,02193,02193.HK,È«Äá °Å·¡¼Ò,20220930,20220930
2430,03882,03882.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2431,02286,02286.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2432,02699,02699.HK,È«Äá °Å·¡¼Ò,20220630,20220630
2433,01986,01986.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2434,06836,06836.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2435,01498,01498.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2436,00416,00416.HK,È«Äá °Å·¡¼Ò,20220630,20220630
2437,01736,01736.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2438,03737,03737.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2439,06196,06196.HK,È«Äá °Å·¡¼Ò,20230331,20230331
2440,01476,01476.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2441,01718,01718.HK,È«Äá °Å·¡¼Ò,20220930,20220930
2442,01568,01568.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2443,08316,08316.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2444,03969,03969.HK,È«Äá °Å·¡¼Ò,20230331,20230331
2445,02153,02153.HK,È«Äá °Å·¡¼Ò,20220930,20220930
2446,01499,01499.HK,È«Äá °Å·¡¼Ò,20220930,20220930
2447,00974,00974.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2448,01585,01585.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2449,08245,08245.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2450,02289,02289.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2451,00331,00331.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2452,01556,01556.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2453,01631,01631.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2454,01690,01690.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2455,08280,08280.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2456,01826,01826.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2457,02199,02199.HK,È«Äá °Å·¡¼Ò,20220930,20220930
2458,01527,01527.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2459,01709,01709.HK,È«Äá °Å·¡¼Ò,20220930,20220930
2460,01869,01869.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2461,01532,01532.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2462,08057,08057.HK,È«Äá °Å·¡¼Ò,20230331,20230331
2463,01546,01546.HK,È«Äá °Å·¡¼Ò,20220930,20220930
2464,08331,08331.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2465,08290,08290.HK,È«Äá °Å·¡¼Ò,20230331,20230331
2466,02663,02663.HK,È«Äá °Å·¡¼Ò,20230331,20230331
2467,02203,02203.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2468,08056,08056.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2469,01558,01558.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2470,08070,08070.HK,È«Äá °Å·¡¼Ò,20230331,20230331
2471,02669,02669.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2472,01561,01561.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2473,06189,06189.HK,È«Äá °Å·¡¼Ò,20220630,20220630
2474,06833,06833.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2475,02588,02588.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2476,03868,03868.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2477,01469,01469.HK,È«Äá °Å·¡¼Ò,20220930,20220930
2478,08366,08366.HK,È«Äá °Å·¡¼Ò,20230131,20230131
2479,01495,01495.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2480,08308,08308.HK,È«Äá °Å·¡¼Ò,20220930,20220930
2481,01419,01419.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2482,01452,01452.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2483,01909,01909.HK,È«Äá °Å·¡¼Ò,20210630,20210630
2484,01538,01538.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2485,02768,02768.HK,È«Äá °Å·¡¼Ò,20220630,20220630
2486,02138,02138.HK,È«Äá °Å·¡¼Ò,20230331,20230331
2487,03799,03799.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2488,01543,01543.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2489,01341,01341.HK,È«Äá °Å·¡¼Ò,20220930,20220930
2490,01979,01979.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2491,08196,08196.HK,È«Äá °Å·¡¼Ò,20230331,20230331
2492,08160,08160.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2493,02031,02031.HK,È«Äá °Å·¡¼Ò,20220930,20220930
2494,01662,01662.HK,È«Äá °Å·¡¼Ò,20220930,20220930
2496,06088,06088.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2497,08300,08300.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2498,01496,01496.HK,È«Äá °Å·¡¼Ò,20220930,20220930
2499,03326,03326.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2500,06083,06083.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2501,03773,03773.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2503,08161,08161.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2504,08319,08319.HK,È«Äá °Å·¡¼Ò,20230331,20230331
2505,03626,03626.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2506,01243,01243.HK,È«Äá °Å·¡¼Ò,20220930,20220930
2507,03301,03301.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2508,01565,01565.HK,È«Äá °Å·¡¼Ò,20230228,20230228
2509,08262,08262.HK,È«Äá °Å·¡¼Ò,20230331,20230331
2510,02738,02738.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2511,03963,03963.HK,È«Äá °Å·¡¼Ò,20220930,20220930
2512,08293,08293.HK,È«Äá °Å·¡¼Ò,20230430,20230430
2513,08417,08417.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2514,09889,09889.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2515,01586,01586.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2516,03320,03320.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2517,01557,01557.HK,È«Äá °Å·¡¼Ò,20220930,20220930
2518,01577,01577.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2519,08333,08333.HK,È«Äá °Å·¡¼Ò,20230331,20230331
2520,08052,08052.HK,È«Äá °Å·¡¼Ò,20230331,20230331
2521,01549,01549.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2523,08232,08232.HK,È«Äá °Å·¡¼Ò,20230331,20230331
2524,08360,08360.HK,È«Äá °Å·¡¼Ò,20230331,20230331
2525,01526,01526.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2526,08411,08411.HK,È«Äá °Å·¡¼Ò,20230331,20230331
2527,08229,08229.HK,È«Äá °Å·¡¼Ò,20230331,20230331
2528,08292,08292.HK,È«Äá °Å·¡¼Ò,20230331,20230331
2529,01596,01596.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2530,01523,01523.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2531,01560,01560.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2532,00150,00150.HK,È«Äá °Å·¡¼Ò,20220930,20220930
2533,01579,01579.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2534,03893,03893.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2535,01751,01751.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2536,06816,06816.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2537,01575,01575.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2538,01789,01789.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2539,08187,08187.HK,È«Äá °Å·¡¼Ò,20230331,20230331
2540,02633,02633.HK,È«Äá °Å·¡¼Ò,20230331,20230331
2541,02278,02278.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2542,08149,08149.HK,È«Äá °Å·¡¼Ò,20230331,20230331
2543,01580,01580.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2544,01572,01572.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2545,08035,08035.HK,È«Äá °Å·¡¼Ò,20230331,20230331
2546,01611,01611.HK,È«Äá °Å·¡¼Ò,20230331,20230331
2547,01676,01676.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2548,06119,06119.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2549,08291,08291.HK,È«Äá °Å·¡¼Ò,20230331,20230331
2550,08328,08328.HK,È«Äá °Å·¡¼Ò,20230331,20230331
2551,08452,08452.HK,È«Äá °Å·¡¼Ò,20230331,20230331
2552,01420,01420.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2553,08370,08370.HK,È«Äá °Å·¡¼Ò,20230331,20230331
2554,01591,01591.HK,È«Äá °Å·¡¼Ò,20220930,20220930
2555,08455,08455.HK,È«Äá °Å·¡¼Ò,20230331,20230331
2556,06058,06058.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2557,06066,06066.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2558,08320,08320.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2559,02113,02113.HK,È«Äá °Å·¡¼Ò,20220930,20220930
2560,01632,01632.HK,È«Äá °Å·¡¼Ò,20220930,20220930
2562,01458,01458.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2563,01583,01583.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2564,01985,01985.HK,È«Äá °Å·¡¼Ò,20230331,20230331
2566,08425,08425.HK,È«Äá °Å·¡¼Ò,20230331,20230331
2567,06812,06812.HK,È«Äá °Å·¡¼Ò,20230331,20230331
2568,01633,01633.HK,È«Äá °Å·¡¼Ò,20220930,20220930
2569,08321,08321.HK,È«Äá °Å·¡¼Ò,20230131,20230131
2570,08349,08349.HK,È«Äá °Å·¡¼Ò,20220930,20220930
2571,01610,01610.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2572,02136,02136.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2573,08341,08341.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2574,08431,08431.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2575,01854,01854.HK,È«Äá °Å·¡¼Ò,20220930,20220930
2576,03869,03869.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2577,03306,03306.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2578,01707,01707.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2579,02017,02017.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2580,01609,01609.HK,È«Äá °Å·¡¼Ò,20230331,20230331
2581,01617,01617.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2582,08069,08069.HK,È«Äá °Å·¡¼Ò,20230331,20230331
2583,03689,03689.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2584,01792,01792.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2585,08283,08283.HK,È«Äá °Å·¡¼Ò,20230331,20230331
2586,01647,01647.HK,È«Äá °Å·¡¼Ò,20220930,20220930
2587,01581,01581.HK,È«Äá °Å·¡¼Ò,20220930,20220930
2588,08297,08297.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2589,06163,06163.HK,È«Äá °Å·¡¼Ò,20221031,20221031
2590,03329,03329.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2591,03789,03789.HK,È«Äá °Å·¡¼Ò,20220930,20220930
2592,06908,06908.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2593,03768,03768.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2594,06068,06068.HK,È«Äá °Å·¡¼Ò,20230228,20230228
2595,01637,01637.HK,È«Äá °Å·¡¼Ò,20220930,20220930
2596,01630,01630.HK,È«Äá °Å·¡¼Ò,20220930,20220930
2597,06122,06122.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2598,03958,03958.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2599,01782,01782.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2600,01915,01915.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2601,01660,01660.HK,È«Äá °Å·¡¼Ò,20220930,20220930
2602,08353,08353.HK,È«Äá °Å·¡¼Ò,20230228,20230228
2603,08091,08091.HK,È«Äá °Å·¡¼Ò,20230331,20230331
2604,01732,01732.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2605,01696,01696.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2606,02363,02363.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2607,01657,01657.HK,È«Äá °Å·¡¼Ò,20221031,20221031
2608,08412,08412.HK,È«Äá °Å·¡¼Ò,20230228,20230228
2609,02266,02266.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2610,02281,02281.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2611,01518,01518.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2612,06169,06169.HK,È«Äá °Å·¡¼Ò,20230228,20230228
2613,01867,01867.HK,È«Äá °Å·¡¼Ò,20230331,20230331
2614,08118,08118.HK,È«Äá °Å·¡¼Ò,20230131,20230131
2615,02001,02001.HK,È«Äá °Å·¡¼Ò,20230228,20230228
2616,08036,08036.HK,È«Äá °Å·¡¼Ò,20230331,20230331
2617,08416,08416.HK,È«Äá °Å·¡¼Ò,20230331,20230331
2618,02166,02166.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2619,01962,01962.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2620,01162,01162.HK,È«Äá °Å·¡¼Ò,20220930,20220930
2621,01569,01569.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2622,02102,02102.HK,È«Äá °Å·¡¼Ò,20230131,20230131
2623,08432,08432.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2625,08420,08420.HK,È«Äá °Å·¡¼Ò,20230331,20230331
