i,ÀÌ¸§, ÄÚµå, °Å·¡¼Ò, koscom_day, naver_day
2087,00048,00048.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2088,00956,00956.HK,È«Äá °Å·¡¼Ò,20230331,20230331
2089,01733,01733.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2090,03683,03683.HK,È«Äá °Å·¡¼Ò,20220930,20220930
2091,00580,00580.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2092,08269,08269.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2093,01685,01685.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2094,01551,01551.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2095,01007,01007.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2096,00975,00975.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2097,01299,01299.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2098,01230,01230.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2100,01600,01600.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2101,01087,01087.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2102,01101,01101.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2103,01086,01086.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2104,01110,01110.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2105,01117,01117.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2106,00327,00327.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2107,01728,01728.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2108,01831,01831.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2109,08238,08238.HK,È«Äá °Å·¡¼Ò,20230331,20230331
2110,00468,00468.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2111,01112,01112.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2112,03618,03618.HK,È«Äá °Å·¡¼Ò,20230331,20230331
2113,01798,01798.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2114,06808,06808.HK,È«Äá °Å·¡¼Ò,20230331,20230331
2116,02011,02011.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2117,01143,01143.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2118,01378,01378.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2119,01913,01913.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2120,03688,03688.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2121,02299,02299.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2122,02282,02282.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2123,01380,01380.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2124,01623,01623.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2125,01963,01963.HK,È«Äá °Å·¡¼Ò,20230331,20230331
2127,03613,03613.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2128,03360,03360.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2129,01121,01121.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2130,01181,01181.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2131,03363,03363.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2132,01127,01127.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2133,01157,01157.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2134,01011,01011.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2136,01312,01312.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2137,02789,02789.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2138,01206,01206.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2139,01150,01150.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2140,08193,08193.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2141,01908,01908.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2142,00968,00968.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2144,01241,01241.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2145,01258,01258.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2146,01082,01082.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2147,01339,01339.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2148,01355,01355.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2149,01259,01259.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2150,06865,06865.HK,È«Äá °Å·¡¼Ò,20230331,20230331
2151,08179,08179.HK,È«Äá °Å·¡¼Ò,20230331,20230331
2152,06838,06838.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2153,00579,00579.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2154,01488,01488.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2155,01663,01663.HK,È«Äá °Å·¡¼Ò,20220930,20220930
2157,01028,01028.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2158,06868,06868.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2159,03666,03666.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2160,03788,03788.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2161,08020,08020.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2162,01152,01152.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2164,06030,06030.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2165,03628,03628.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2166,01302,01302.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2167,01269,01269.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2168,00844,00844.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2169,08217,08217.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2170,01023,01023.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2171,06880,06880.HK,È«Äá °Å·¡¼Ò,20220630,20220630
2172,08215,08215.HK,È«Äá °Å·¡¼Ò,20230331,20230331
2173,01262,01262.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2174,01293,01293.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2175,01336,01336.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2176,06837,06837.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2177,03778,03778.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2178,08439,08439.HK,È«Äá °Å·¡¼Ò,20230331,20230331
2179,01830,01830.HK,È«Äá °Å·¡¼Ò,20220930,20220930
2180,01251,01251.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2181,01252,01252.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2182,01315,01315.HK,È«Äá °Å·¡¼Ò,20220930,20220930
2183,01281,01281.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2184,06830,06830.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2185,01303,01303.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2186,01263,01263.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2187,01803,01803.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2188,08031,08031.HK,È«Äá °Å·¡¼Ò,20230331,20230331
2189,01210,01210.HK,È«Äá °Å·¡¼Ò,20220630,20220630
2190,01266,01266.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2191,01699,01699.HK,È«Äá °Å·¡¼Ò,20220630,20220630
2192,01277,01277.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2193,01260,01260.HK,È«Äá °Å·¡¼Ò,20220930,20220930
2194,03698,03698.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2195,01329,01329.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2196,01613,01613.HK,È«Äá °Å·¡¼Ò,20220930,20220930
2198,00863,00863.HK,È«Äá °Å·¡¼Ò,20221231,20221231
