i,이름, 코드, 거래소, koscom_day, naver_day
87,어도비,ADBE.O,나스닥 증권거래소,20230602,20230602
88,어그리 리얼티,ADC,뉴욕 거래소,20230331,20230331
90,컬러 스타 테크놀로지,ADD.O,나스닥 증권거래소,20221231,20221231
91,아데이아,ADEA.O,나스닥 증권거래소,20230331,20230331
92,26 캐피털 애퀴지션,ADER.O,나스닥 증권거래소,20230331,20230331
93,어드밴스드 에미션스 솔루션스,ADES.O,나스닥 증권거래소,20230331,20230331
94,아디트 에디테크 애퀴지션,ADEX.K,아멕스 증권거래소,20230331,20230331
95,애널로그 디바이시스,ADI.O,나스닥 증권거래소,20230429,20230429
96,애디얼 파머수티컬,ADIL.O,나스닥 증권거래소,20230331,20230331
97,아처 대니얼스 미들랜드,ADM,뉴욕 거래소,20230331,20230331
98,ADMA 바이오로직스,ADMA.O,나스닥 증권거래소,20230331,20230331
99,아다미스 파마슈티컬스,ADMP.O,나스닥 증권거래소,20230331,20230331
100,어드벤트 테크놀로지스 홀딩스,ADN.O,나스닥 증권거래소,20230331,20230331
101,애디언트,ADNT.K,뉴욕 거래소,20230331,20230331
102,에독 애퀴지션,ADOC.O,나스닥 증권거래소,20230331,20230331
103,오토매틱 데이터 프로세싱,ADP.O,나스닥 증권거래소,20230331,20230331
104,어댑티브 바이오테크놀러지,ADPT.O,나스닥 증권거래소,20230331,20230331
105,울트 디스럽티브 테크놀로지스,ADRT.K,아멕스 증권거래소,20230331,20230331
106,애즈-테크 에너지,ADSE.O,나스닥 증권거래소,20221231,20221231
107,오토데스크,ADSK.O,나스닥 증권거래소,20230430,20230430
108,ADT,ADT,뉴욕 거래소,20230331,20230331
109,애드티오런트 홀딩 컴퍼니,ADTH.O,나스닥 증권거래소,20230331,20230331
110,애드트랜 홀딩스,ADTN.O,나스닥 증권거래소,20230331,20230331
111,애디텍스트,ADTX.O,나스닥 증권거래소,20230331,20230331
112,아듀스 홈케어,ADUS.O,나스닥 증권거래소,20230331,20230331
113,어드밴티지 솔루션스,ADV.O,나스닥 증권거래소,20230331,20230331
114,애드베럼 바이오테크놀로지스,ADVM.O,나스닥 증권거래소,20230331,20230331
