i,이름, 코드, 거래소, koscom_day, naver_day
14,에이팩스홀딩스,IBC.HM,호치민 거래소,20221231,20230331
142,트랜시멕스 운송,TOT.HN,하노이 거래소,20221231,20230331
153,SCG 건설,SCG.HN,하노이 거래소,20221231,20230331
234,베트남항공,HVN.HM,호치민 거래소,20230331,20221231
249,박리에우수산,BLF.HN,하노이 거래소,20230331,20221231
525,CMC테크,CMG.HM,호치민 거래소,20230331,20221231
599,제2전기건설,VE2.HN,하노이 거래소,20230331,20221231
