i,코드,상품명,거래소,error
170,PPT.HN,페트로 타임스,하노이 거래소,unknown error
200,DPC.HN,,,unknown error
363,SRF.HM,시레피코,호치민 거래소,unknown error
392,SPI.HN,스파이럴 갤럭시 JSC,하노이 거래소,unknown error
