DB_NAME,DB_MARKET,NAME,DESC,MARKET
MCC,없음,MCC,고급벽돌타일,하노이 거래소,
CHX,없음,CHX,챔피언엑스,나스닥 증권거래소,
BENEU,O,없음,없음,없음,
NGHC,O,없음,없음,없음,
CCH_u,없음,없음,없음,없음,
FPAC,K,없음,없음,없음,
FPAC_u,K,없음,없음,없음,
GSB,없음,GSBC,그레이트 서던 뱅코프,나스닥 증권거래소,
VJET,K,VJET,복셀젯 ADR,나스닥 증권거래소,
LOGM,O,없음,없음,없음,
CBSHP,O,없음,없음,없음,
GCE,없음,없음,없음,없음,
GSC,없음,GSC,Goldman Sachs Small Cap Core Equity ETF,아멕스 증권거래소,
PNC_pq,없음,없음,없음,없음,
VQT,없음,없음,없음,없음,
AFH,O,없음,없음,없음,
ZN,O,ZNTL,젠테일스 파마슈티컬,나스닥 증권거래소,
IBMI,K,없음,없음,없음,
ITACU,O,없음,없음,없음,
PAICU,O,없음,없음,없음,
BCOM,O,없음,없음,없음,
MEET,O,없음,없음,없음,
MNLO,O,없음,없음,없음,
TWMC,O,없음,없음,없음,
DLR_pi,없음,없음,없음,없음,
GCOR,K,GCOR,Goldman Sachs Access US Aggregate Bond ETF,아멕스 증권거래소,
OPP_r_w,없음,없음,없음,없음,
SHLO,O,없음,없음,없음,
PSTH_u,K,없음,없음,없음,
LILRV,O,없음,없음,없음,
NMFX,K,없음,없음,없음,
NMFC,K,NMFC,뉴 마운틴 파이낸스,나스닥 증권거래소,
JPGB,K,없음,없음,없음,
JAQCU,O,JAQCU,Jupiter Acquisition Class A Ord Shs,나스닥 증권거래소,
QRTEV,O,없음,없음,없음,
EVSI,O,없음,없음,없음,
QRTBV,O,없음,없음,없음,
QRTAV,O,없음,없음,없음,
HYXE,O,없음,없음,없음,
TORC,O,없음,없음,없음,
CTL,없음,CTLP,칸타루프,나스닥 증권거래소,
SPN,없음,SPNS,사피언스 인터내셔널 코퍼레이션,나스닥 증권거래소,
WUBA,K,없음,없음,없음,
KDP,없음,KDP,큐리그 닥터 페퍼,나스닥 증권거래소,
AGM_pa,없음,없음,없음,없음,
THGA,K,없음,없음,없음,
MJCO,O,없음,없음,없음,
GTX,없음,GTX,가렛 모션,나스닥 증권거래소,
DIVY,K,DIVY,Sound Equity Dividend Income ETF,아멕스 증권거래소,
PJH,없음,없음,없음,없음,
PRH,없음,PRH,Prudential Financial 5 950 Junior Subordinated Notes due 2062,뉴욕 거래소,
EROS,K,없음,없음,없음,
CLUB,O,없음,없음,없음,
PSV,없음,없음,없음,없음,
CNXM,K,없음,없음,없음,
GMZ,없음,없음,없음,없음,
AZN,없음,AZN,아스트라제네카 ADR,나스닥 증권거래소,
GDV_pa,없음,없음,없음,없음,
GRAF_u,K,없음,없음,없음,
GRAF,K,EAF,GrafTech International Ltd,뉴욕 거래소,
JE_pa,없음,없음,없음,없음,
PSA_px,없음,없음,없음,없음,
PSA_pw,없음,없음,없음,없음,
