RIC,MAX(ACCOUNT_DATE)
1034.HK         ,20221231
8219.HK         ,20230331
2003.HK         ,20221231
1833.HK         ,20221231
1652.HK         ,20221231
8516.HK         ,20221231
1286.HK         ,20221231
6110.HK         ,20230228
8606.HK         ,20230331
1716.HK         ,20220930
1916.HK         ,20221231
1910.HK         ,20230331
1576.HK         ,20221231
8475.HK         ,20230228
1725.HK         ,20221231
0998.HK         ,20230331
1760.HK         ,20221231
0807.HK         ,20230331
8547.HK         ,20230331
2230.HK         ,20220930
1653.HK         ,20220930
1773.HK         ,20230228
8613.HK         ,20230331
8042.HK         ,20230331
8609.HK         ,20221231
3700.HK         ,20221231
1721.HK         ,20221231
1912.HK         ,20221231
2051.HK         ,20221231
8611.HK         ,20230228
1765.HK         ,20230228
8447.HK         ,20230331
1726.HK         ,20221231
1968.HK         ,20221231
1996.HK         ,20221231
6860.HK         ,20221231
2798.HK         ,20221231
1746.HK         ,20221231
8621.HK         ,20230331
1842.HK         ,20221231
6190.HK         ,20221231
2346.HK         ,20210630
1739.HK         ,20221231
1748.HK         ,20221231
0797.HK         ,20221231
2696.HK         ,20221231
6100.HK         ,20230331
1503.HK         ,20221231
1408.HK         ,20221231
MSFT.O          ,20230331
1545.HK         ,20221231
1977.HK         ,20221231
6111.HK         ,20220630
2048.HK         ,20221231
1810.HK         ,20230331
2628.HK         ,20221231
1672.HK         ,20221231
1890.HK         ,20230228
8601.HK         ,20230331
2682.HK         ,20220930
1790.HK         ,20221231
6862.HK         ,20221231
1235.HK         ,20220930
1757.HK         ,20220930
6162.HK         ,20221231
2296.HK         ,20210630
1894.HK         ,20220930
1939.HK         ,20220930
2258.HK         ,20221231
0270.HK         ,20221231
6890.HK         ,20221231
0564.HK         ,20221231
3601.HK         ,20221231
6098.HK         ,20221231
8635.HK         ,20221231
6663.HK         ,20230331
1903.HK         ,20221231
1837.HK         ,20221231
8603.HK         ,20221231
0780.HK         ,20230331
3690.HK         ,20230331
1407.HK         ,20221231
1851.HK         ,20221231
1540.HK         ,20221231
1796.HK         ,20230331
8210.HK         ,20230331
1911.HK         ,20220630
1731.HK         ,20221231
1835.HK         ,20221231
1785.HK         ,20230331
1793.HK         ,20220930
3978.HK         ,20221231
1775.HK         ,20230131
2892.HK         ,20221231
3321.HK         ,20211231
1762.HK         ,20221231
1987.HK         ,20221231
1849.HK         ,20221231
9866.HK         ,20230331
2360.HK         ,20230331
2129.HK         ,20221231
8619.HK         ,20221231
1703.HK         ,20220930
8337.HK         ,20230331
1472.HK         ,20220930
6185.HK         ,20221231
8620.HK         ,20221231
1797.HK         ,20221130
1767.HK         ,20221231
1873.HK         ,20221231
1780.HK         ,20230331
8489.HK         ,20230331
8627.HK         ,20230331
1877.HK         ,20221231
6160.HK         ,20230331
2356.HK         ,20221231
1995.HK         ,20221231
2013.HK         ,20221231
1872.HK         ,20221231
2181.HK         ,20221231
8607.HK         ,20230331
2680.HK         ,20230228
2552.HK         ,20221231
1891.HK         ,20221231
1983.HK         ,20221231
0987.HK         ,20221231
8200.HK         ,20221231
1865.HK         ,20220930
8096.HK         ,20221231
1753.HK         ,20221231
0321.HK         ,20230331
3692.HK         ,20221231
0924.HK         ,20221231
2019.HK         ,20221231
1755.HK         ,20221231
1801.HK         ,20221231
3616.HK         ,20221231
3877.HK         ,20221231
1935.HK         ,20221231
1761.HK         ,20221231
2616.HK         ,20221231
1209.HK         ,20221231
0989.HK         ,20220930
2158.HK         ,20220930
8049.HK         ,20230331
2107.HK         ,20221231
6055.HK         ,20221231
1880.HK         ,20221231
1896.HK         ,20221231
1848.HK         ,20221231
3660.HK         ,20230331
2405.HK         ,20221231
8368.HK         ,20230331
6049.HK         ,20221231
0667.HK         ,20221231
9938.HK         ,20220930
9919.HK         ,20221231
1992.HK         ,20221231
8645.HK         ,20230331
9626.HK         ,20230331
