DB_NAME,DB_MARKET,NAME,DESC,MARKET
GAB_r_w,없음,없음,없음,없음,
CTB,없음,CTB,하이드엉펌프,하노이 거래소,
JIH_u,없음,없음,없음,없음,
BSPE,O,없음,없음,없음,
DFHTU,O,없음,없음,없음,
MLPY,K,없음,없음,없음,
DFHT,O,없음,없음,없음,
GIX_u,없음,없음,없음,없음,
TCFCP,O,없음,없음,없음,
TCF,O,없음,없음,없음,
GLOG,K,GLOG PR A,가스로그 우선주 시리즈 A 8.75%,뉴욕 거래소,
GIX_r,없음,없음,없음,없음,
FSRVU,O,없음,없음,없음,
HCAP,O,없음,없음,없음,
FSRV,O,없음,없음,없음,
GIX,없음,GiXo Ltd,9219,도쿄 거래소,
SHO_pe,없음,없음,없음,없음,
THBRU,O,없음,없음,없음,
CAPAU,O,없음,없음,없음,
THBR,O,없음,없음,없음,
CAPA,O,없음,없음,없음,
TOT,없음,TOT,트랜시멕스 운송,하노이 거래소,
OPINI,O,없음,없음,없음,
ZIONN,O,없음,없음,없음,
CCX_u,없음,없음,없음,없음,
CCX,없음,없음,없음,없음,
LEAF,K,LFLY,Leafly Holdings Inc,나스닥 증권거래소,
ASB_pc,없음,없음,없음,없음,
IPOE_u,K,없음,없음,없음,
PBY,없음,PBYI,퓨마 바이오테크놀러지,나스닥 증권거래소,
HWCPL,O,없음,없음,없음,
RF_pa,없음,없음,없음,없음,
WFC_pn,없음,없음,없음,없음,
ACTCU,O,없음,없음,없음,
ACTC,O,없음,없음,없음,
TCBIP,O,없음,없음,없음,
KKR_pa,없음,없음,없음,없음,
GRUB,K,없음,없음,없음,
SVMK,O,없음,없음,없음,
IVR_pa,없음,없음,없음,없음,
HWCC,O,없음,없음,없음,
SSPKU,O,없음,없음,없음,
ACP_r,없음,없음,없음,없음,
UZC,없음,없음,없음,없음,
OBLN,O,없음,없음,없음,
SSPK,O,없음,없음,없음,
FAII_u,K,없음,없음,없음,
VGAC_u,K,없음,없음,없음,
FSKR,K,없음,없음,없음,
STAY,O,없음,없음,없음,
VGAC,K,없음,없음,없음,
FAII,K,없음,없음,없음,
OPTT,O,OPTT,오션 파워 테크놀로지스,아멕스 증권거래소,
PRIF_pc,K,없음,없음,없음,
FCRZ,K,없음,없음,없음,
EFF,없음,EFTR,eFFECTOR Therapeutics Inc,나스닥 증권거래소,
SFBS,O,SFBS,서비스퍼스트 뱅크셰어스,뉴욕 거래소,
SYX,없음,없음,없음,없음,
ACACU,O,ACACU,Acri Capital Acquisition Units,나스닥 증권거래소,
GLQ_r,없음,없음,없음,없음,
GLO_r,없음,없음,없음,없음,
CLNY,K,없음,없음,없음,
CATM,O,없음,없음,없음,
GLV_r,없음,없음,없음,없음,
TCBIL,O,없음,없음,없음,
DSE,없음,DSEN,065150,코스닥,
CLNY_pj,K,없음,없음,없음,
CLNY_pg,K,없음,없음,없음,
CLNY_pi,K,없음,없음,없음,
CLNY_ph,K,없음,없음,없음,
BST_r_w,없음,없음,없음,없음,
ABR_pa,없음,없음,없음,없음,
HECCU,O,없음,없음,없음,
ABR_pc,없음,없음,없음,없음,
ABR_pb,없음,없음,없음,없음,
GFNSZ,O,없음,없음,없음,
GFNCP,O,없음,없음,없음,
FTIVU,O,없음,없음,없음,
AACQU,O,없음,없음,없음,
FTOCU,O,없음,없음,없음,
FIIIU,O,없음,없음,없음,
EHT,없음,EHTH,이헬스,나스닥 증권거래소,
FRX_u,없음,없음,없음,없음,
AACQ,O,없음,없음,없음,
LEND,K,LC,LendingClub Corp,뉴욕 거래소,
LINX,K,없음,없음,없음,
FTIV,O,없음,없음,없음,
RNAZ,O,RNAZ,트랜스코드 테라퓨틱스,나스닥 증권거래소,
CLNC,K,없음,없음,없음,
FRX,없음,FRXB,포레스트 레드 애퀴지션 II,뉴욕 거래소,
FSLF,K,없음,없음,없음,
TBA,없음,없음,없음,없음,
TRCH,O,없음,없음,없음,
FTOC,O,없음,없음,없음,
DTJ,없음,없음,없음,없음,
AMH_pe,없음,없음,없음,없음,
IACA_u,K,없음,없음,없음,
PSA_pc,없음,없음,없음,없음,
GOODM,O,없음,없음,없음,
ARES_pa,K,없음,없음,없음,
IACA,K,없음,없음,없음,
AHC,없음,AHCO,어댑트헬스,나스닥 증권거래소,
ATCO_pe,K,없음,없음,없음,
BPFH,O,없음,없음,없음,
HOLUU,O,없음,없음,없음,
HCXZ,K,없음,없음,없음,
FTV_pa,없음,없음,없음,없음,
