RIC	MAX(ACCOUNT_DATE)
AMBP.K          	20230331
AMC             	20230331
AMCR.K          	20230331
AMCX.O          	20230331
AMD.O           	20230401
AME             	20230331
AMED.O          	20230331
AMEH.O          	20230331
AMG             	20230331
AMGN.O          	20230331
AMH             	20230331
AMK             	20230331
AMKR.O          	20230331
AMLX.O          	20230331
AMN             	20230331
AMNB.O          	20230331
AMOT.O          	20230331
AMP             	20230331
AMPE.K          	20230331
AMPG.O          	20230331
AMPH.O          	20230331
AMPL.O          	20230331
AMPS.K          	20230331
AMPX.K          	20230331
AMPY.K          	20230331
AMR             	20230331
AMRC.K          	20230331
AMRK.O          	20230331
AMRN.O          	20230331
AMRS.O          	20230331
AMRX.K          	20230331
AMS             	20230331
AMSC.O          	20230331
AMSF.O          	20230331
AMST.O          	20230331
AMSWA.O         	20230430
AMT             	20230331
AMTB.O          	20230331
AMTD.K          	20221231
AMTI.O          	20230331
AMTX.O          	20230331
AMWD.O          	20230430
AMWL.K          	20230331
AMX             	20230331
AMZN.O          	20230331
AN              	20230331
ANAB.O          	20230331
ANDE.O          	20230331
ANEB.O          	20230331
ANET.K          	20230331
ANF             	20230429
ANGH.O          	20221231
ANGI.O          	20230331
ANGO.O          	20230228
ANIK.O          	20230331
ANIP.O          	20230331
ANIX.O          	20230430
ANNX.O          	20230331
ANSS.O          	20230331
ANTE.O          	20221231
ANTX.O          	20230331
ANVS.K          	20230331
ANY.O           	20230331
ANZU.O          	20230331
AOGO.O          	20230331
AOMR.K          	20230331
AON             	20230331
AORT.K          	20230331
AOS             	20230331
AOSL.O          	20230331
AOUT.O          	20230131
AP              	20230331
APA.O           	20230331
APAC.O          	20230331
APAM.K          	20230331
APCA.K          	20230331
APCX.O          	20230331
APD             	20230331
APDN.O          	20230331
APEI.O          	20230331
APG             	20230331
APGB.K          	20230331
APGN.O          	20230331
APH             	20230331
API.O           	20230331
APLD.O          	20230228
APLE.K          	20230331
APLM.O          	20221231
APLS.O          	20230331
APLT.O          	20230331
APM.O           	20221231
APMI.O          	20230331
APO             	20230331
APOG.O          	20230225
APP.O           	20230331
APPF.O          	20230331
APPH.O          	20230331
APPN.O          	20230331
APPS.O          	20230331
APRE.O          	20230331
APRN.K          	20230331
APT             	20230331
APTM.O          	20230331
APTO.O          	20230331
APTV.K          	20230331
APVO.O          	20230331
APWC.O          	20221231
APXI.O          	20230331
APYX.O          	20230331
AQB.O           	20230331
AQMS.O          	20230331
AQN.TO          	20230331
AQST.O          	20230331
AQU.O           	20230331
AR              	20230331
ARAGU.O         	20220131
ARAV.O          	20230331
ARAY.O          	20230331
ARB.L           	20230331
ARBB.O          	20220630
ARBE.O          	20230331
ARBG.O          	20230331
ARBK.O          	20230331
