i,코드,상품명,거래소,error
1510,LSTA,리사타 테라퓨틱스,나스닥 증권거래소,not etf
1512,MAIA,마이아 바이오테크놀로지,아멕스 증권거래소,not etf
1517,MARX,마스 애퀴지션,나스닥 증권거래소,not etf
1519,MAS,매스코,뉴욕 거래소,not etf
1526,MBNKP,메달리언 뱅크 우선주 시리즈 F 8%,나스닥 증권거래소,not etf
1527,MBOT,마이크로봇 메디컬,나스닥 증권거래소,not etf
1529,MBRX,몰컬린 바이오테크,나스닥 증권거래소,not etf
1530,MBSC,M3-브리게이드 애퀴지션 III,뉴욕 거래소,not etf
1532,MBTC,녹턴 애퀴지션,나스닥 증권거래소,not etf
1539,MEOA,마이너리티 이퀄리티 오퍼튜니티스 애퀴지션,나스닥 증권거래소,not etf
1545,MIGI,모손 인프라 스트럭처 그룹,나스닥 증권거래소,not etf
1547,MIMO,에어스팬 네트웍스 홀딩스,아멕스 증권거래소,not etf
1552,MIO,MINV,,unknown error
1555,MKC,맥코믹 앤 컴퍼니 무의결권주,뉴욕 거래소,not etf
1560,MMD,MainStay MacKay DefinedTerm Municipal Opport Fd,뉴욕 거래소,not etf
1567,MOLN,몰레큘러 파트너스 ADR,나스닥 증권거래소,not etf
1570,MOR,모르포시스 ADR,나스닥 증권거래소,not etf
1572,MORF,모픽 홀딩,나스닥 증권거래소,not etf
1577,MSTR,마이크로스트래티지,나스닥 증권거래소,not etf
1586,NEU,뉴마켓,뉴욕 거래소,not etf
1587,NEWP,뉴 퍼시픽 메탈스,아멕스 증권거래소,not etf
1592,NKLA,니콜라,나스닥 증권거래소,not etf
1599,NTLA,인텔리아 테라퓨틱스,나스닥 증권거래소,not etf
1607,NURO,뉴로메트릭스,나스닥 증권거래소,not etf
1615,NXTP,넥스트플레이 테크놀로지스,나스닥 증권거래소,not etf
1618,O,리얼티 인컴,뉴욕 거래소,not etf
1619,OABI,옴니AB,나스닥 증권거래소,not etf
1638,OILU,MicroSectors Oil & Gas Exp And Prod 3x Leveraged ETN,아멕스 증권거래소,not etf
1642,ONEW,원워터 마린,나스닥 증권거래소,not etf
1646,OPFI,옵파이,뉴욕 거래소,not etf
1648,OPRA,오페라 ADR,나스닥 증권거래소,not etf
1652,OSG,오버시스 쉽홀딩 그룹,뉴욕 거래소,not etf
1653,OSI,오시리스 애퀴지션,뉴욕 거래소,not etf
1657,OVBC,오하이오 밸리 뱅크,나스닥 증권거래소,not etf
1658,OVF,OVBC,,Timeout
1661,OVLY,오크 밸리 뱅코프,나스닥 증권거래소,not etf
1665,OVV,오빈티브,뉴욕 거래소,not etf
1667,OXAC,옥스브리지 애퀴지션,나스닥 증권거래소,not etf
1668,OXACU,Oxbridge Acquisition Units,나스닥 증권거래소,not etf
1669,PAB,OXACU,,unknown error
1670,PABU,,,unknown error
1671,PAC,그루포 에어로포르투아리오 파시피코 ADR,뉴욕 거래소,not etf
1672,PAK,그루포 에어로포르투아리오 파시피코 ADR,뉴욕 거래소,not etf
1674,PALI,팔리사드 바이오,나스닥 증권거래소,not etf
1676,PALT,팰토크,나스닥 증권거래소,not etf
1679,PAR,파 테크놀로지,뉴욕 거래소,not etf
1681,PAVS,해피니스 디벨롭먼트 그룹,나스닥 증권거래소,not etf
1688,PBF,PBF 에너지,뉴욕 거래소,not etf
1690,PBLA,팬벨라 테라퓨틱스,나스닥 증권거래소,not etf
1693,PBPB,포트벨리,나스닥 증권거래소,not etf
1694,PBR,페트로브라스 ADR,뉴욕 거래소,not etf
1699,PCYG,파크 시티 그룹,나스닥 증권거래소,not etf
1700,PDBA,파크 시티 그룹,나스닥 증권거래소,unknown error
1703,PDFS,PDF 솔루션스,나스닥 증권거래소,not etf
1718,PFL,Pimco Income Strategy Closed Fund,뉴욕 거래소,not etf
1724,PGRU,프로퍼티구루 그룹,뉴욕 거래소,not etf
1728,PHG,코닝클레이커 필립스 ADR,뉴욕 거래소,not etf
1729,PHGE,바이오MX,아멕스 증권거래소,not etf
1731,PHR,프리시아,뉴욕 거래소,not etf
1740,PINS,핀터레스트 Class A,뉴욕 거래소,not etf
1742,PIPR,파이퍼 샌들러 컴퍼니스,뉴욕 거래소,not etf
1743,PIRS,PIPR,,unknown error
