DB_NAME,DB_MARKET,NAME,DESC,MARKET
JWb,없음,없음,없음,없음,
JWa,없음,없음,없음,없음,
EMBCV,O,없음,없음,없음,
CWC,없음,CWCO,콘솔리데이티드 워터,나스닥 증권거래소,
ORPH,O,없음,없음,없음,
VNE,없음,VNE,베트남전기건설,호치민 거래소,
HNRA_u,K,없음,없음,없음,
ADS,없음,ADS,담산,호치민 거래소,
BIF,없음,없음,없음,없음,
ENOV_w,K,없음,없음,없음,
ESAB_w,K,없음,없음,없음,
PPGH,O,PPGH,포에마 글로벌 홀딩스 Class A,나스닥 증권거래소,
PPGHU,O,PPGHU,Poema Global Holdings Units,나스닥 증권거래소,
PBCTP,O,PBCTP,피플스 유나이티드 파이낸셜 우선주 시리즈 A,나스닥 증권거래소,
PBCT,O,PBCT,피플스 유나이티드 파이낸셜,나스닥 증권거래소,
CFX,없음,CFX,콜팩스,뉴욕 거래소,
FLOW,K,FLOW,Global X US Cash Flow Kings 100 ETF,아멕스 증권거래소,
BPMP,K,없음,없음,없음,
FLDM,O,없음,없음,없음,
HLXA,O,없음,없음,없음,
ISBC,O,ISB Corp,9702,도쿄 거래소,
TLMD,O,없음,없음,없음,
SUBZ,K,없음,없음,없음,
RVI,없음,없음,없음,없음,
MVP,없음,MVPS,Amplify Thematic All-Stars ETF,아멕스 증권거래소,
DMRM,K,없음,없음,없음,
DMRL,K,없음,없음,없음,
HMHC,O,없음,없음,없음,
DMRE,K,없음,없음,없음,
DMRI,K,없음,없음,없음,
DMRS,K,없음,없음,없음,
STXB,O,없음,없음,없음,
MFL,없음,MFLX,First Trust Flexible Municipal High Income ETF,나스닥 증권거래소,
MYJ,없음,없음,없음,없음,
HIX_r_w,없음,없음,없음,없음,
DISCB,O,없음,없음,없음,
DISCA,O,없음,없음,없음,
DISCK,O,없음,없음,없음,
WBDWV,O,없음,없음,없음,
MCA,없음,MCAA,마운틴 앤 아이 애퀴지션,나스닥 증권거래소,
LAIX,K,없음,없음,없음,
MYC,없음,MCP,Mychau Printing and Packaging Corp,호치민 거래소,
MCEF,O,없음,없음,없음,
PNNT,O,PNNT,페넌트파크 인베트스트먼트,뉴욕 거래소,
PFLT,O,PFLT,페넌트파크 플로팅 레이트 캐피탈,뉴욕 거래소,
DHR_pa,없음,없음,없음,없음,
GBLL,K,없음,없음,없음,
EMCGU,O,EMCGU,Embrace Change Acquisition Units,나스닥 증권거래소,
KLDO,O,없음,없음,없음,
HGH,없음,없음,없음,없음,
DRW,없음,없음,없음,없음,
BULD,O,BULD,Pacer BlueStar Engineering the Future ETF,나스닥 증권거래소,
NHS_r_w,없음,없음,없음,없음,
LGBT,O,없음,없음,없음,
FOE,없음,없음,없음,없음,
LOWC,K,없음,없음,없음,
CHPM,O,없음,없음,없음,
EVOL,O,EOLS,Evolus Inc,나스닥 증권거래소,
CHPMU,O,없음,없음,없음,
VOLT,K,Voltage Inc,3639,도쿄 거래소,
FTAI,K,FTAI,FTAI 애비에이션,나스닥 증권거래소,
BUDX,K,없음,없음,없음,
FTAI_pa,K,없음,없음,없음,
FTAI_pb,K,없음,없음,없음,
FTAI_pc,K,없음,없음,없음,
ATSPU,O,없음,없음,없음,
ATSPT,O,없음,없음,없음,
BIGY,K,없음,없음,없음,
SGMS,O,없음,없음,없음,
TUSA,O,없음,없음,없음,
GWGH,O,없음,없음,없음,
TUGC,O,없음,없음,없음,
ONE,없음,ONE,원커뮤니케이션,하노이 거래소,
MACU,O,없음,없음,없음,
TUGCU,O,없음,없음,없음,
MGP,없음,MGPI,MGP 인그리디언츠,나스닥 증권거래소,
WTRU,K,없음,없음,없음,
EMSH,K,없음,없음,없음,
SV,O,SV인베스트먼트,289080,코스닥,
SVSVU,O,없음,없음,없음,
FUT,없음,코스피 200 선물,FUT,국내지수선물,
RALS,K,없음,없음,없음,
EUFX,K,없음,없음,없음,
HTBX,K,없음,없음,없음,
ECOL,O,ECL,Ecolab Inc,뉴욕 거래소,
CROC,K,CROX,Crocs Inc,나스닥 증권거래소,
ALTS,K,ARB,AltShares Merger Arbitrage ETF,아멕스 증권거래소,
SBM,없음,없음,없음,없음,
DDG,없음,DDG,인도차이나 수출입,하노이 거래소,
HIX_r,없음,없음,없음,없음,
FTNW,K,없음,없음,없음,
ALAC,O,없음,없음,없음,
GNOG,O,없음,없음,없음,
ALACR,O,없음,없음,없음,
ALACU,O,없음,없음,없음,
AMH_pf,없음,없음,없음,없음,
HBP,O,없음,없음,없음,
JOBS,O,없음,없음,없음,
TGLS,O,TGLS,테크노글래스,뉴욕 거래소,
LAWS,O,Lawson Inc,2651,도쿄 거래소,
PROG,O,PGNY,Progyny Inc,나스닥 증권거래소,
ZNTE,O,없음,없음,없음,
ZNTEU,O,없음,없음,없음,
CELP,K,없음,없음,없음,
BLL,없음,BLLD,JPMorgan Sustainable Infrastructure ETF,나스닥 증권거래소,
TENKU,O,TENKU,Tenx Keane Acquisition Units,나스닥 증권거래소,
FTLB,O,없음,없음,없음,
NEW,없음,NEW,160550,코스닥,
SVRE,O,SVRE,세이버원 2014 ADR,나스닥 증권거래소,
XENT,O,없음,없음,없음,
EPAY,O,없음,없음,없음,
ESBK,O,없음,없음,없음,
AVTR_pa,K,없음,없음,없음,
GLU_r_w,없음,없음,없음,없음,
NHS_r,없음,없음,없음,없음,
ARTAU,O,없음,없음,없음,
ARTA,O,ARTA TechFin Corporation Ltd,00279,홍콩 거래소,
WEI,없음,WMK,Weis Markets Inc,뉴욕 거래소,
SGLB,O,없음,없음,없음,
MLHR,O,MLKN,밀러놀,나스닥 증권거래소,
MIME,O,MDXG,MiMedx Group Inc,나스닥 증권거래소,
OTRA,O,없음,없음,없음,
CVU,없음,CVU,CPI 에어로스트럭처스,아멕스 증권거래소,
SFUN,K,없음,없음,없음,
CTRE,O,CTRE,케어트러스트 리츠 (REIT),뉴욕 거래소,
AFI,없음,AFIB,아쿠투스 메디컬,나스닥 증권거래소,
LCAP,O,없음,없음,없음,
LCAPU,O,없음,없음,없음,
ZNGA,O,없음,없음,없음,
NCBS,O,없음,없음,없음,
RYB,없음,없음,없음,없음,
IIN,O,IINN,인스피라 테크놀로지스 옥시 BHN,나스닥 증권거래소,
DCPE,K,없음,없음,없음,
ATRS,O,없음,없음,없음,
UEPS,O,없음,없음,없음,
MXDU,K,없음,없음,없음,
RBIN,K,없음,없음,없음,
RBUS,K,없음,없음,없음,
CTK,없음,셴투,CTK,빗썸,
VWTR,O,없음,없음,없음,
JCO,없음,없음,없음,없음,
ANAT,O,없음,없음,없음,
DCUE,K,없음,없음,없음,
CMPI,O,없음,없음,없음,
OCA,없음,OCAX,OCA 애퀴지션,나스닥 증권거래소,
OCA_u,없음,없음,없음,없음,
CPTAG,O,없음,없음,없음,
IRCP,O,없음,없음,없음,
APSG_u,K,없음,없음,없음,
APSG,K,없음,없음,없음,
LUB,없음,없음,없음,없음,
CPTAL,O,없음,없음,없음,
OCDX,O,없음,없음,없음,
HUSN,O,없음,없음,없음,
ESGC,K,없음,없음,없음,
FLMN,O,없음,없음,없음,
ZTOPU,O,ZTOPU,Zi Toprun Acquisition Units,나스닥 증권거래소,
ASPPU,O,ASPPU,Abri SPAC 2 Units,나스닥 증권거래소,
NEV,없음,NVRO,Nevro Corp,뉴욕 거래소,
BLACU,O,BLACU,Bellevue Life Sciences Acquisition Units,나스닥 증권거래소,
ZME,없음,없음,없음,없음,
GNCA,O,없음,없음,없음,
TSCAP,O,없음,없음,없음,
TSC,O,TSC,테크노농자재,호치민 거래소,
TSCBP,O,없음,없음,없음,
LUCY,O,LUCY,이노베이티브 아이웨어,나스닥 증권거래소,
CAS_u,없음,없음,없음,없음,
SVFC,O,없음,없음,없음,
META,K,META,메타 플랫폼스,나스닥 증권거래소,
FB,O,FBK,FB 파이낸셜 그룹,뉴욕 거래소,
TIGOR,O,없음,없음,없음,
CERN,O,없음,없음,없음,
DYNS,O,없음,없음,없음,
RLGY,K,없음,없음,없음,
