RIC,MAX(ACCOUNT_DATE)
9287.T          ,20221130
6370.T          ,20230331
7050.T          ,20230430
6524.T          ,20230331
4267.T          ,20230430
3289.T          ,20230331
3449.T          ,20230331
7386.T          ,20230331
8219.T          ,20230331
4019.T          ,20230331
2995.T          ,20221231
6996.T          ,20230331
5127.T          ,20230228
2984.T          ,20230331
1973.T          ,20230331
9247.T          ,20230331
9561.T          ,20230331
5038.T          ,20230331
7686.T          ,20230331
4437.T          ,20230331
4438.T          ,20230331
7379.T          ,20230430
7137.T          ,20230228
4487.T          ,20230331
5527.T          ,20230228
7077.T          ,20230228
2892.T          ,20230331
7370.T          ,20230228
9306.T          ,20230331
7364.T          ,20221231
9256.T          ,20230331
4015.T          ,20230228
7110.T          ,20230430
9344.T          ,20230331
4060.T          ,20230331
4004.T          ,20230331
4412.T          ,20230228
4054.T          ,20230331
2985.T          ,20230331
4071.T          ,20230331
5139.T          ,20230331
4599.T          ,20230430
4193.T          ,20230331
5076.T          ,20230331
4012.T          ,20230331
5254.T          ,20230331
9212.T          ,20230331
7687.T          ,20230331
7113.T          ,20230228
7112.T          ,20230331
7376.T          ,20230331
4169.T          ,20230331
3450.T          ,20230220
7073.T          ,20230430
2932.T          ,20230331
9225.T          ,20230331
2997.T          ,20230430
6226.T          ,20230331
7049.T          ,20230228
7074.T          ,20230228
7059.T          ,20230331
7072.T          ,20230331
7674.T          ,20230430
9253.T          ,20230228
5368.T          ,20230331
3409.T          ,20230331
6613.T          ,20230331
3905.T          ,20230331
7067.T          ,20230331
7065.T          ,20230228
7361.T          ,20230331
4483.T          ,20230331
9146.T          ,20221231
7677.T          ,20230331
8020.T          ,20230331
3283.T          ,20221130
7081.T          ,20230331
7682.T          ,20230430
7360.T          ,20230228
2992.T          ,20230430
9149.T          ,20230430
6521.T          ,20230228
7090.T          ,20230331
7119.T          ,20230331
9565.T          ,20230430
4196.T          ,20230331
5136.T          ,20230430
3863.T          ,20230331
4442.T          ,20230331
4482.T          ,20230331
4040.T          ,20230331
4892.T          ,20230331
7345.T          ,20230331
7064.T          ,20230430
4885.T          ,20230228
7378.T          ,20230430
7355.T          ,20230430
7098.T          ,20230131
7083.T          ,20230228
4616.T          ,20230228
7388.T          ,20230228
4011.T          ,20230331
6523.T          ,20230331
4935.T          ,20230331
4375.T          ,20230331
4020.T          ,20230331
4498.T          ,20230331
7063.T          ,20230331
4251.T          ,20230331
7374.T          ,20230331
4485.T          ,20230331
7236.T          ,20230331
9252.T          ,20230228
4262.T          ,20230331
7056.T          ,20230228
4414.T          ,20230331
9336.T          ,20230331
9214.T          ,20230331
7085.T          ,20230228
4057.T          ,20230228
4180.T          ,20230331
7097.T          ,20230430
9560.T          ,20230228
9226.T          ,20221130
9559.T          ,20230331
7694.T          ,20230331
7094.T          ,20230331
9428.T          ,20230331
2999.T          ,20230228
5078.T          ,20230228
4174.T          ,20230430
4445.T          ,20230331
4178.T          ,20230331
4370.T          ,20230228
9327.T          ,20230331
4893.T          ,20230331
4481.T          ,20230331
4413.T          ,20230228
5582.T          ,20230331
4444.T          ,20230331
7823.T          ,20230331
5070.T          ,20230331
6522.T          ,20230228
2937.T          ,20230331
7078.T          ,20230331
6231.T          ,20230331
9245.T          ,20230331
5253.T          ,20230331
9257.T          ,20230331
7383.T          ,20230331
7356.T          ,20230331
5135.T          ,20221231
4125.T          ,20230331
9556.T          ,20230430
2971.T          ,20230131
5034.T          ,20230331
7058.T          ,20230331
5838.T          ,20230331
7136.T          ,20221231
4058.T          ,20230331
7794.T          ,20230331
4891.T          ,20230228
4436.T          ,20230331
2934.T          ,20230228
4172.T          ,20230331
4166.T          ,20230331
7317.T          ,20230331
2809.T          ,20230228
9554.T          ,20230331
6597.T          ,20230331
5248.T          ,20230430
4177.T          ,20230331
3415.T          ,20230430
7084.T          ,20230331
7330.T          ,20230331
5858.T          ,20230331
7080.T          ,20230331
2981.T          ,20230331
2212.T          ,20230331
2980.T          ,20230331
7114.T          ,20230331
5883.T          ,20221130
5252.T          ,20230331
4197.T          ,20230228
2977.T          ,20230331
4419.T          ,20230331
7352.T          ,20230228
5031.T          ,20230430
3448.T          ,20230331
4480.T          ,20230331
6228.T          ,20230331
4932.T          ,20230331
7357.T          ,20230228
7680.T          ,20230430
7115.T          ,20230331
4017.T          ,20230228
2991.T          ,20230430
7354.T          ,20230331
5255.T          ,20230331
5027.T          ,20230331
2979.T          ,20221130
9249.T          ,20230331
7089.T          ,20230331
4199.T          ,20230228
4255.T          ,20221231
6496.T          ,20230228
7803.T          ,20230331
6419.T          ,20230331
4056.T          ,20230331
4051.T          ,20230331
4934.T          ,20230430
4491.T          ,20230331
7088.T          ,20230331
4627.T          ,20230430
7804.T          ,20230430
7693.T          ,20230320
9162.T          ,20230331
4173.T          ,20230228
4880.T          ,20230430
5247.T          ,20230331
4439.T          ,20230228
4450.T          ,20230331
7792.T          ,20230331
5632.T          ,20230331
5071.T          ,20230331
2440.T          ,20230331
4430.T          ,20230228
5576.T          ,20221231
7129.T          ,20230331
9145.T          ,20230331
9562.T          ,20230331
4673.T          ,20230228
4168.T          ,20230331
9337.T          ,20230331
9222.T          ,20230331
4265.T          ,20230331
7698.T          ,20230331
1887.T          ,20230228
7096.T          ,20230331
7970.T          ,20230331
4261.T          ,20230331
4888.T          ,20230331
4270.T          ,20230228
4374.T          ,20230331
4076.T          ,20230228
7369.T          ,20230331
7091.T          ,20230331
4073.T          ,20230331
6599.T          ,20230331
4496.T          ,20230331
5250.T          ,20230228
9345.T          ,20230331
7351.T          ,20230228
7061.T          ,20230331
2987.T          ,20230331
4479.T          ,20230331
3281.T          ,20230228
4486.T          ,20230331
9218.T          ,20230331
9286.T          ,20221130
7958.T          ,20230331
2978.T          ,20230430
5334.T          ,20230331
4490.T          ,20230228
9465.T          ,20221231
2961.T          ,20230331
9563.T          ,20230331
7140.T          ,20230331
6230.T          ,20230331
4431.T          ,20230430
4476.T          ,20230331
5573.T          ,20230331
6486.T          ,20230331
4441.T          ,20230430
7066.T          ,20230331
4372.T          ,20230331
5529.T          ,20221130
7138.T          ,20230331
4883.T          ,20230331
4052.T          ,20230331
4475.T          ,20230331
7082.T          ,20230331
7343.T          ,20230331
9251.T          ,20230430
4202.T          ,20230331
4931.T          ,20230331
7363.T          ,20230331
4446.T          ,20230430
4074.T          ,20230331
4447.T          ,20230331
7362.T          ,20230331
9020.T          ,20230331
7116.T          ,20230331
4013.T          ,20230331
4415.T          ,20230331
8508.T          ,20230331
7093.T          ,20230331
5571.T          ,20230331
8070.T          ,20230331
7071.T          ,20230331
5570.T          ,20230331
4933.T          ,20230331
7060.T          ,20230331
9558.T          ,20230228
9224.T          ,20230331
7734.T          ,20230331
7068.T          ,20230228
2933.T          ,20230331
5724.T          ,20230331
4889.T          ,20230331
7800.T          ,20230331
7368.T          ,20230331
4377.T          ,20230331
5578.T          ,20230228
6229.T          ,20230331
4478.T          ,20230331
2585.T          ,20230331
2872.T          ,20230228
7062.T          ,20230331
9522.T          ,20230331
9213.T          ,20230331
5072.T          ,20230331
4059.T          ,20230331
7132.T          ,20230331
4171.T          ,20230331
7139.T          ,20221130
5885.T          ,20230228
7793.T          ,20230430
4435.T          ,20230331
9227.T          ,20230331
5528.T          ,20221231
6998.T          ,20230331
4492.T          ,20230331
7791.T          ,20230331
4434.T          ,20230228
7678.T          ,20230331
4429.T          ,20230228
7409.T          ,20230331
4882.T          ,20230331
7095.T          ,20230430
2936.T          ,20230228
1451.T          ,20230331
5137.T          ,20230331
4936.T          ,20230430
7134.T          ,20230331
5025.T          ,20230228
7057.T          ,20230331
4376.T          ,20230331
7683.T          ,20230430
7692.T          ,20230430
4449.T          ,20230331
5129.T          ,20230228
7790.T          ,20230331
5033.T          ,20230331
4493.T          ,20230331
5532.T          ,20230331
5244.T          ,20230331
1375.T          ,20230331
6612.T          ,20230331
6527.T          ,20230331
7069.T          ,20230331
9311.T          ,20230331
7384.T          ,20230331
4176.T          ,20230228
7133.T          ,20230331
4690.T          ,20230331
2998.T          ,20230331
4256.T          ,20230331
7086.T          ,20230228
9658.T          ,20230331
4495.T          ,20230331
2983.T          ,20230430
5074.T          ,20230331
7820.T          ,20230331
9341.T          ,20230331
4937.T          ,20230331
7371.T          ,20230331
4416.T          ,20230331
4259.T          ,20230331
4263.T          ,20230331
2993.T          ,20230331
4488.T          ,20230331
7079.T          ,20230331
4884.T          ,20230331
5138.T          ,20230331
6498.T          ,20230331
4198.T          ,20230228
7318.T          ,20230331
3727.T          ,20230331
5256.T          ,20230331
4379.T          ,20230331
9244.T          ,20230331
7359.T          ,20230331
5132.T          ,20230430
7695.T          ,20230331
5126.T          ,20230331
5881.T          ,20230331
4371.T          ,20230331
2989.T          ,20230131
7691.T          ,20230331
4192.T          ,20230331
9307.T          ,20230331
4175.T          ,20230430
4016.T          ,20230228
7118.T          ,20230331
7372.T          ,20230331
4167.T          ,20230331
4264.T          ,20230331
5581.T          ,20230228
9229.T          ,20230331
5079.T          ,20230430
6526.T          ,20230331
4170.T          ,20230331
4075.T          ,20230430
4257.T          ,20221231
9216.T          ,20230228
4179.T          ,20230331
5834.T          ,20230331
9348.T          ,20230331
4890.T          ,20230331
6363.T          ,20230331
4268.T          ,20230430
5026.T          ,20230228
9342.T          ,20230331
4418.T          ,20230331
9240.T          ,20230430
2286.T          ,20230331
4373.T          ,20230331
5759.T          ,20230331
7126.T          ,20230430
4194.T          ,20230430
4069.T          ,20230331
6168.T          ,20221231
9215.T          ,20230228
9553.T          ,20230331
5580.T          ,20230228
2990.T          ,20230331
7128.T          ,20230331
5077.T          ,20221231
5572.T          ,20230430
9552.T          ,20230331
5125.T          ,20230331
9339.T          ,20230331
9220.T          ,20230331
2587.T          ,20230331
9246.T          ,20230331
9254.T          ,20230331
9250.T          ,20230228
5131.T          ,20230430
6317.T          ,20230331
5037.T          ,20221130
5036.T          ,20230331
5241.T          ,20221231
4260.T          ,20230331
9346.T          ,20230331
5032.T          ,20230430
5246.T          ,20230228
7131.T          ,20230430
9343.T          ,20230331
7180.T          ,20230331
4258.T          ,20230331
5928.T          ,20230331
9156.T          ,20230331
9221.T          ,20230331
9532.T          ,20230331
4894.T          ,20230331
5029.T          ,20230331
9158.T          ,20221231
5130.T          ,20230228
7117.T          ,20220531
9338.T          ,20230331
5526.T          ,20230430
5577.T          ,20230228
9557.T          ,20230331
5134.T          ,20230430
5035.T          ,20230331
5251.T          ,20221231
7120.T          ,20230331
7963.T          ,20230331
9160.T          ,20230331
5884.T          ,20230331
5575.T          ,20230228
5243.T          ,20230228
7389.T          ,20230331
5533.T          ,20230331
5258.T          ,20230331
5242.T          ,20230331
5249.T          ,20230331
9159.T          ,20230331
8035.T          ,20230331
6952.T          ,20230331
4502.T          ,20230331
5803.T          ,20230331
2802.T          ,20230331
1812.T          ,20230331
1925.T          ,20230331
2871.T          ,20230331
5333.T          ,20230331
4519.T          ,20230331
2502.T          ,20230331
7731.T          ,20230331
5201.T          ,20230331
6770.T          ,20230331
3407.T          ,20230331
4631.T          ,20230331
9202.T          ,20230331
9404.T          ,20230331
1332.T          ,20230331
5214.T          ,20230331
4612.T          ,20230331
