DB_NAME,DB_MARKET,NAME,DESC,MARKET
LJAQU,O,없음,없음,없음,
TUEM,O,없음,없음,없음,
PCSB,O,없음,없음,없음,
CORZ,O,없음,없음,없음,
HMLP_pa,K,없음,없음,없음,
QTNT,O,없음,없음,없음,
GLBLU,O,없음,없음,없음,
GLBL,O,없음,없음,없음,
EGLE,O,EGLE,이글 벌크 쉬핑,뉴욕 거래소,
OYST,O,없음,없음,없음,
GE_w,없음,없음,없음,없음,
GEHCV,O,없음,없음,없음,
DNAY,O,없음,없음,없음,
MPAC,O,없음,없음,없음,
SPNE,O,없음,없음,없음,
MPACU,O,없음,없음,없음,
MPACR,O,없음,없음,없음,
RIGZ,K,없음,없음,없음,
POSH,O,없음,없음,없음,
DRAY,O,없음,없음,없음,
FLRU,K,없음,없음,없음,
DRAYU,O,없음,없음,없음,
PKBO,O,없음,없음,없음,
CCNC,O,없음,없음,없음,
MTBC,O,없음,없음,없음,
MTBCP,O,없음,없음,없음,
PQIN,K,없음,없음,없음,
MTBCO,O,없음,없음,없음,
SMFR,O,없음,없음,없음,
IGAC,O,없음,없음,없음,
IGACU,O,없음,없음,없음,
RSF_r_w,없음,없음,없음,없음,
STAB,O,SLNG,Stabilis Solutions Inc,나스닥 증권거래소,
AERC,O,AER,AerCap Holdings NV,뉴욕 거래소,
IMGO,O,없음,없음,없음,
EKAR,K,없음,없음,없음,
POW,O,POW,페트로베트남 전력공사,호치민 거래소,
EPHY,O,없음,없음,없음,
RSXJ,K,없음,없음,없음,
EPHYU,O,없음,없음,없음,
RSX,없음,없음,없음,없음,
PACXU,O,없음,없음,없음,
PACX,O,없음,없음,없음,
POWRU,O,없음,없음,없음,
USER,K,User Local Inc,3984,도쿄 거래소,
PFXNL,O,없음,없음,없음,
FCAX_u,K,없음,없음,없음,
FOMO,K,없음,없음,없음,
FNI,없음,없음,없음,없음,
FINM,O,없음,없음,없음,
FINMU,O,없음,없음,없음,
DLCAU,O,없음,없음,없음,
RVAC,O,없음,없음,없음,
DLCA,O,DLC Asia Ltd,08210,홍콩 거래소,
REVBU,O,없음,없음,없음,
JEF_w,없음,없음,없음,없음,
IUSA,K,없음,없음,없음,
FCAX,K,없음,없음,없음,
PSB_px,없음,없음,없음,없음,
IDRA,O,없음,없음,없음,
BTCR,K,없음,없음,없음,
AUB,O,AUB,아틀란틱 유니온 뱅크셰어스,뉴욕 거래소,
AUBAP,O,AUBAP,애틀랜틱 유니온 뱅크셰어스 우선주 시리즈 A 6.875%,나스닥 증권거래소,
VLNS,O,없음,없음,없음,
PSB_pz,없음,없음,없음,없음,
PSB_py,없음,없음,없음,없음,
PRTY,K,없음,없음,없음,
VIVE,O,VHAQ,Viveon Health Acquisition Corp,아멕스 증권거래소,
TCDA,O,없음,없음,없음,
GPCO,O,없음,없음,없음,
AEAC,O,없음,없음,없음,
AEACU,O,없음,없음,없음,
VGFC,O,없음,없음,없음,
HDIV,K,없음,없음,없음,
TZPSU,O,없음,없음,없음,
DSPC,O,없음,없음,없음,
TZPS,O,없음,없음,없음,
CIXX,K,없음,없음,없음,
MMX,없음,없음,없음,없음,
AVEO,O,없음,없음,없음,
AVCT,O,없음,없음,없음,
AYLA,O,없음,없음,없음,
RKLY,K,없음,없음,없음,
BNFT,O,없음,없음,없음,
SFET,O,없음,없음,없음,
JCIC,O,없음,없음,없음,
APXH,K,없음,없음,없음,
THAC,O,THAC,쓰라이브 애퀴지션,나스닥 증권거래소,
THACU,O,THACU,Thrive Acquisition Units,나스닥 증권거래소,
GIACU,O,GIACU,Gesher I Acquisition Units,나스닥 증권거래소,
GIAC,O,GIACU,Gesher I Acquisition Units,나스닥 증권거래소,
BCOR,O,없음,없음,없음,
NAACU,O,없음,없음,없음,
MEAC,O,없음,없음,없음,
NAAC,O,없음,없음,없음,
MEACU,O,없음,없음,없음,
RSF_r,없음,없음,없음,없음,
SVFA,O,없음,없음,없음,
SVFAU,O,없음,없음,없음,
HSAQ,O,없음,없음,없음,
FOXWU,O,없음,없음,없음,
RYSE,K,RYSE,Cboe Vest 10 Year Interest Rate Hedge ETF,아멕스 증권거래소,
FOXW,O,없음,없음,없음,
DNZ,없음,없음,없음,없음,
CMCTP,O,없음,없음,없음,
DNZ_u,없음,없음,없음,없음,
EXN,없음,없음,없음,없음,
