i,이름, 코드, 거래소, koscom_day, naver_day
161,1445,1445.T,도쿄 거래소,20230228,20220831
403,7056,7056.T,도쿄 거래소,20230228,20220831
504,7693,7693.T,도쿄 거래소,20230320,20220920
