i,이름, 코드, 거래소, koscom_day, naver_day
2113,1850,1850.T,도쿄 거래소,20230331,20230331
2114,5997,5997.T,도쿄 거래소,20230331,20230331
2115,9731,9731.T,도쿄 거래소,20230331,20230331
2116,9823,9823.T,도쿄 거래소,20230331,20230331
2117,3948,3948.T,도쿄 거래소,20230331,20230331
2118,9696,9696.T,도쿄 거래소,20230331,20230331
2119,7505,7505.T,도쿄 거래소,20230331,20230331
2120,6289,6289.T,도쿄 거래소,20230228,20230228
2121,9361,9361.T,도쿄 거래소,20230331,20230331
2122,9722,9722.T,도쿄 거래소,20230331,20230331
2123,1770,1770.T,도쿄 거래소,20230331,20230331
2124,4544,4544.T,도쿄 거래소,20230331,20230331
2125,7514,7514.T,도쿄 거래소,20230228,20230228
2126,5940,5940.T,도쿄 거래소,20230331,20230331
2127,8111,8111.T,도쿄 거래소,20230331,20230331
2128,2211,2211.T,도쿄 거래소,20230331,20230331
2129,1968,1968.T,도쿄 거래소,20230331,20230331
2130,3600,3600.T,도쿄 거래소,20230331,20230331
2131,2908,2908.T,도쿄 거래소,20230331,20230331
2132,7957,7957.T,도쿄 거래소,20230331,20230331
2133,6937,6937.T,도쿄 거래소,20230331,20230331
2134,3944,3944.T,도쿄 거래소,20230331,20230331
2135,1899,1899.T,도쿄 거래소,20230331,20230331
2136,6755,6755.T,도쿄 거래소,20230331,20230331
2137,4998,4998.T,도쿄 거래소,20230331,20230331
2138,9619,9619.T,도쿄 거래소,20230331,20230331
2139,2291,2291.T,도쿄 거래소,20230331,20230331
2140,6771,6771.T,도쿄 거래소,20230331,20230331
2141,7254,7254.T,도쿄 거래소,20230331,20230331
2142,6652,6652.T,도쿄 거래소,20230331,20230331
2143,9708,9708.T,도쿄 거래소,20230331,20230331
2144,9362,9362.T,도쿄 거래소,20230331,20230331
2145,3104,3104.T,도쿄 거래소,20230331,20230331
2146,8836,8836.T,도쿄 거래소,20230331,20230331
2147,4112,4112.T,도쿄 거래소,20230331,20230331
2148,1826,1826.T,도쿄 거래소,20230331,20230331
2149,6246,6246.T,도쿄 거래소,20230331,20230331
2150,1959,1959.T,도쿄 거래소,20230331,20230331
2151,6469,6469.T,도쿄 거래소,20230228,20230228
2152,4530,4530.T,도쿄 거래소,20230228,20230228
2153,1938,1938.T,도쿄 거래소,20230331,20230331
2154,6907,6907.T,도쿄 거래소,20230331,20230331
2155,2327,2327.T,도쿄 거래소,20230331,20230331
2156,7520,7520.T,도쿄 거래소,20230228,20230228
2157,5950,5950.T,도쿄 거래소,20230331,20230331
2158,1967,1967.T,도쿄 거래소,20230320,20230320
2159,9651,9651.T,도쿄 거래소,20230228,20230228
2160,6504,6504.T,도쿄 거래소,20230331,20230331
2161,2694,2694.T,도쿄 거래소,20230331,20230331
2162,8032,8032.T,도쿄 거래소,20230331,20230331
2163,9060,9060.T,도쿄 거래소,20230331,20230331
2164,8095,8095.T,도쿄 거래소,20230228,20230228
2165,4579,4579.T,도쿄 거래소,20230331,20230331
2166,1786,1786.T,도쿄 거래소,20230331,20230331
2167,6908,6908.T,도쿄 거래소,20230331,20230331
2168,9767,9767.T,도쿄 거래소,20230331,20230331
2169,4624,4624.T,도쿄 거래소,20230331,20230331
2170,1992,1992.T,도쿄 거래소,20230331,20230331
2171,8050,8050.T,도쿄 거래소,20230331,20230331
2172,6977,6977.T,도쿄 거래소,20230331,20230331
2173,8133,8133.T,도쿄 거래소,20230331,20230331
2174,6245,6245.T,도쿄 거래소,20230331,20230331
2175,5287,5287.T,도쿄 거래소,20230331,20230331
2176,2901,2901.T,도쿄 거래소,20230331,20230331
2177,9835,9835.T,도쿄 거래소,20230228,20230228
2178,7898,7898.T,도쿄 거래소,20230331,20230331
2179,6208,6208.T,도쿄 거래소,20230331,20230331
2180,1914,1914.T,도쿄 거래소,20230331,20230331
2181,2492,2492.T,도쿄 거래소,20230331,20230331
2182,8584,8584.T,도쿄 거래소,20230331,20230331
2183,5204,5204.T,도쿄 거래소,20230320,20230320
2184,4107,4107.T,도쿄 거래소,20230331,20230331
2185,7506,7506.T,도쿄 거래소,20230331,20230331
2186,3421,3421.T,도쿄 거래소,20230430,20230430
2187,9679,9679.T,도쿄 거래소,20230331,20230331
2188,6364,6364.T,도쿄 거래소,20230331,20230331
2189,2209,2209.T,도쿄 거래소,20230331,20230331
2190,5703,5703.T,도쿄 거래소,20230331,20230331
2191,4274,4274.T,도쿄 거래소,20230331,20230331
2192,8037,8037.T,도쿄 거래소,20230331,20230331
2193,5984,5984.T,도쿄 거래소,20230331,20230331
2194,6391,6391.T,도쿄 거래소,20230331,20230331
2195,9081,9081.T,도쿄 거래소,20230331,20230331
2196,5446,5446.T,도쿄 거래소,20230331,20230331
2197,4556,4556.T,도쿄 거래소,20230331,20230331
2198,9537,9537.T,도쿄 거래소,20230331,20230331
2199,1898,1898.T,도쿄 거래소,20230331,20230331
2200,7897,7897.T,도쿄 거래소,20230331,20230331
2201,4621,4621.T,도쿄 거래소,20230331,20230331
2202,8370,8370.T,도쿄 거래소,20230331,20230331
2203,4367,4367.T,도쿄 거래소,20230331,20230331
2205,7504,7504.T,도쿄 거래소,20230331,20230331
2206,7516,7516.T,도쿄 거래소,20230228,20230228
2207,7647,7647.T,도쿄 거래소,20230331,20230331
2208,1948,1948.T,도쿄 거래소,20230331,20230331
2209,5603,5603.T,도쿄 거래소,20230331,20230331
2210,8160,8160.T,도쿄 거래소,20230331,20230331
2211,6137,6137.T,도쿄 거래소,20230331,20230331
2212,9687,9687.T,도쿄 거래소,20230331,20230331
2213,6016,6016.T,도쿄 거래소,20230331,20230331
2214,8118,8118.T,도쿄 거래소,20230331,20230331
2215,9930,9930.T,도쿄 거래소,20230331,20230331
2216,8244,8244.T,도쿄 거래소,20230228,20230228
2217,4222,4222.T,도쿄 거래소,20230331,20230331
2218,7986,7986.T,도쿄 거래소,20230331,20230331
2219,1930,1930.T,도쿄 거래소,20230331,20230331
2220,8194,8194.T,도쿄 거래소,20230228,20230228
2221,6982,6982.T,도쿄 거래소,20230331,20230331
2222,8143,8143.T,도쿄 거래소,20230228,20230228
2223,7381,7381.T,도쿄 거래소,20230331,20230331
2224,9636,9636.T,도쿄 거래소,20230430,20230430
2225,8107,8107.T,도쿄 거래소,20230331,20230331
2226,2294,2294.T,도쿄 거래소,20230430,20230430
2227,7908,7908.T,도쿄 거래소,20230331,20230331
2228,9051,9051.T,도쿄 거래소,20230331,20230331
2229,2353,2353.T,도쿄 거래소,20230430,20230430
2230,2798,2798.T,도쿄 거래소,20230228,20230228
2231,6378,6378.T,도쿄 거래소,20230331,20230331
2232,2612,2612.T,도쿄 거래소,20230331,20230331
2233,9049,9049.T,도쿄 거래소,20230331,20230331
