i,etf,코드,이름,내용,
10293,etf,WLTH,LifeGoal Wealth Builder ETF,
10305,etf,WNDY,Global X Wind Energy ETF,
10312,etf,WOMN,Impact Shares YWCA Womens Empowerment ETF,
10313,etf,WOOD,iShares Global Timber & Forestry ETF,
10322,etf,WPS,iShares International Developed Property ETF,
10335,etf,WRND,IQ Global Equity R&D Leaders ETF,
10347,,WTAI,WisdomTree Artificial Intelligence and Innov Fund,
10360,,WTMF,WisdomTree Managed Futures Strategy Fund,
10361,,WTRE,WisdomTree New Economy Real Estate Fund,
10366,,WTV,WisdomTree US Value Fund,
10370,etf,WUGI,AXS Esoterica NextG Economy ETF,
10380,etf,WWJD,Inspire International ETF,
10388,etf,XAR,SPDR S&P Aerospace & Defense ETF,
10389,etf,XB,BondBloxx B Rated USD High Yield Corp Bd ETF,
10390,etf,XBAP,Innovator US Eqty Accelerated 9 Buffer ETF - April,
10391,etf,XBAP,Innovator US Eqty Accelerated 9 Buffer ETF - April,
10392,etf,XBI,SPDR S&P Biotech ETF,
10393,etf,XBIL,US Treasury 6 Month Bill ETF,
10396,etf,XBJA,Innovator US Eqty Accelerated 9 Buffer ETF - Jan,
10397,etf,XBJL,Innovator US Eqty Accelerated 9 Buffer ETF - July,
10398,etf,XBOC,Innovator US Eqty Accelerated 9 Buffer ETF - Oct,
10399,etf,XBTF,VanEck Bitcoin Strategy ETF,
10400,,XC,WisdomTree Emerging Markets Ex-China Fund,
10401,etf,XCCC,BondBloxx CCC Rated USD High Yield Corp Bd ETF,
10402,etf,XCEM,Columbia EM Core ex-China ETF,
10403,etf,XCLR,Global X S&P 500 Collar 95-110 ETF,
10404,etf,XCOR,FundX ETF,
10406,etf,XDAP,Innovator US Equity Accelerated ETF - April,
10407,etf,XDAT,Franklin Exponential Data ETF,
10408,etf,XDEC,FT Cboe Vest US Equity Enh & Mod Buffer ETF - Dec,
10409,etf,XDJA,Innovator US Equity Accelerated ETF - January,
10410,etf,XDJL,Innovator US Equity Accelerated ETF - July,
10411,etf,XDNA,Kelly CRISPR & Gene Editing Technology ETF,
10412,etf,XDOC,Innovator US Equity Accelerated ETF - October,
10413,etf,XDQQ,Innovator Growth Accelerated ETF - Quarterly,
10414,etf,XDSQ,Innovator US Equity Accelerated ETF - Quarterly,
10419,,XEMD,BondBloxx JP Morgan USD Emerging Mkts 1-10 Year,
10422,etf,XES,SPDR S&P Oil & Gas Equipment & Services ETF,
10425,etf,XFIV,BondBloxx Bloomberg 5 Yr Tgt Duration US Trsy ETF,
10430,etf,XHB,SPDR S&P Homebuilders ETF,
10431,etf,XHE,SPDR S&P Health Care Equipment ETF,
10432,,XHLF,BondBloxx Bloomberg 6 Mo Tgt Duration US Trsy ET,
10434,etf,XHS,SPDR S&P Health Care Services ETF,
10435,etf,XHYC,BondBloxx USD HY Bond Cons Cyclicals Sctr ETF,
10436,etf,XHYD,BondBloxx USD HY Bond Cons Non-Cyclicals Sctr ETF,
10437,etf,XHYE,BondBloxx USD HY Bond Energy Sctr ETF,
10438,etf,XHYF,BondBloxx USD HY Bond Financial & REIT Sctr ETF,
10439,etf,XHYH,BondBloxx USD HY Bond Healthcare Sctr ETF,
10440,etf,XHYI,BondBloxx USD HY Bond Industrial Sctr ETF,
10441,etf,XHYT,BondBloxx USD HY Bond Telecom Med & Tech Sctr ETF,
10443,etf,XITK,SPDR FactSet Innovative Technology ETF,
10444,etf,XJH,iShares ESG Screened S&P Mid-Cap ETF,
10445,etf,XJR,iShares ESG Screened S&P Small-Cap ETF,
10446,etf,XJUN,FT Cboe Vest US Equity Enh & Mod Buffer ETF - June,
10447,,XLB,Materials Select Sector SPDR Fund,
10448,,XLC,Communication Services Select Sector SPDR Fund,
10449,,XLC,Energy Select Sector SPDR Fund,
10450,,XLF,Financial Select Sector SPDR Fund,
10451,etf,XLG,Invesco S&P 500 Top 50 ETF,
10452,,XLG,,
10453,,XLK,Technology Select Sector SPDR Fund,
10455,,XLP,Consumer Staples Select Sector SPDR Fund,
10456,,XLRE,Real Estate Select Sector SPDR Fund,
10457,etf,XLSR,SPDR SSGA US Sector Rotation ETF,
10458,,XLU,Utilities Select Sector SPDR Fund,
10459,,XLV,Health Care Select Sector SPDR Fund,
10460,,XLY,Consumer Discretionary Select Sector SPDR Fund,
10462,etf,XMAR,FT Cboe Vest US Equity Enh & Mod Buffer ETF - Mar,
10463,etf,XME,SPDR S&P Metals & Mining ETF,
10464,,XME,,
10465,etf,XMLV,Invesco S&P MidCap Low Volatility ETF,
10466,etf,XMMO,Invesco S and P MidCap Momentum ETF,
10467,etf,XMPT,VanEck CEF Muni Income ETF,
10469,etf,XMVM,Invesco S and P MidCap Value with Momentum ETF,
10470,etf,XNAV,FundX Aggressive ETF,
10473,etf,XNTK,SPDR Nyse Technology ETF,
10478,,XONE,BondBloxx Bloomberg One Yr Tgt Duration US Trsy ET,
10479,etf,XOP,SPDR S&P Oil & Gas Exploration & Production ETF,
10481,etf,XOUT,GraniteShares XOUT US Large Cap ETF,
10490,etf,XPH,SPDR S&P Pharmaceuticals ETF,
10492,etf,XPND,First Trust Expanded Technology ETF,
10496,,XPP,ProShares Ultra FTSE China 50,
10499,etf,XRLV,Invesco S&P 500 ex-Rate Sensitive LV ETF,
10500,etf,XRMI,Global X S&P 500 Risk Managed Income ETF,
10501,etf,XRT,SPDR S&P Retail ETF,
10504,etf,XSD,SPDR S&P Semiconductor ETF,
10505,etf,XSEP,FT Cboe Vest US Equity Enh & Mod Buffer ETF - Sept,
10506,etf,XSHD,Invesco S&P SmallCap High Div Low Vol ETF,
10507,etf,XSHQ,Invesco S&P SmallCap Quality ETF,
10508,etf,XSLV,Invesco S&P SmallCap Low Volatility ETF,
10509,etf,XSMO,Invesco S and P SmallCap Momentum ETF,
10510,,XSOE,WisdomTree EM ex-State-Owned Enterprises,
10511,etf,XSVM,Invesco S and P SmallCap Value with Momentum ETF,
10512,etf,XSVN,BondBloxx Bloomberg 7 Yr Tgt Duration US Trsy ETF,
10513,etf,XSW,SPDR S&P Software & Services ETF,
10514,etf,XT,iShares Exponential Technologies ETF,
10515,etf,XTAP,Innovator US Equity Accelerated Plus ETF - April,
10516,etf,XTEN,BondBloxx Bloomberg 10 Yr Tgt Duration US Trsy ETF,
10517,etf,XTJA,Innovator US Equity Accelerated Plus ETF - January,
10518,etf,XTJL,Innovator US Equity Accelerated Plus ETF - July,
10519,etf,XTL,SPDR S&P Telecom ETF,
10521,etf,XTN,SPDR S&P Transportation ETF,
10523,etf,XTOC,Innovator US Equity Accelerated Plus ETF - October,
10524,etf,XTR,Global X S&P 500 Tail Risk ETF,
10525,etf,XTRE,BondBloxx Bloomberg 3 Yr Tgt Duration US Trsy ETF,
10526,etf,XTWO,BondBloxx Bloomberg 2 Yr Tgt Duration US Trsy ETF,
10527,etf,XTWY,BondBloxx Bloomberg 20 Yr Tgt Duration US Trsy ETF,
10528,etf,XUSP,Innovator Uncapped Accelerated US Equity ETF,
10529,etf,XVOL,Acruence Active Hedge US Equity ETF,
10530,etf,XVV,iShares ESG Screened S&P 500 ETF,
10531,etf,XWEB,SPDR S&P Internet ETF,
10536,etf,XYLD,Global X S&P 500 Covered Call ETF,
10537,etf,XYLE,Global X S&P 500 ESG Covered Call ETF,
10538,etf,XYLG,Global X S&P 500 Covered Call & Growth ETF,
10540,etf,YALL,God Bless America ETF,
10541,,YANG,Direxion Daily FTSE China Bear 3X Shares,
10542,,YANG,,
10544,,YCL,ProShares Ultra Yen,
10545,,YCS,ProShares UltraShort Yen,
10546,etf,YDEC,FT Cboe Vest International Equity Buffer ETF - Dec,
10547,etf,YEAR,AB Ultra Short Income ETF,
10555,,YINN,Direxion Daily FTSE China Bull 3x Shares,
10557,etf,YJUN,FT Cboe Vest International Equity Buffer ETF - Jun,
10558,etf,YLD,Principal Active High Yield ETF,
10559,etf,YLDE,ClearBridge Dividend Strategy ESG ETF,
10561,etf,YMAR,FT Cboe Vest International Equity Buffer ETF - Mar,
10564,etf,YOLO,AdvisorShares Pure Cannabis ETF,
10572,etf,YPS,Arrow Reverse Cap 500 ETF,
10576,etf,YSEP,FT Cboe Vest International Equity Buffer ETF - Sep,
10582,etf,YUMY,VanEck Future of Food ETF,
10584,,YXI,ProShares Short FTSE China 50,
10586,etf,YYY,Amplify High Income ETF,
10594,etf,ZECP,Zacks Earnings Consistent Portfolio ETF,
10604,etf,ZHDG,ZEGA Buy and Hedge ETF,
10606,,ZIG,Acquirers Fund,
10616,etf,ZIVB,-1x Short VIX Mid-Term Futures Strategy ETF,
10623,,ZNTL,젠테일스 파마슈티컬,
10624,etf,ZROZ,PIMCO 25+ Year Zero Coupon US Treasury Index ETF,
10626,,ZSB,USCF Sustainable Battery Metals Strategy Fund,
10627,etf,ZSL,ProShares UltraShort Silver ETF,
10628,etf,ZSPY,ASYMmetric Smart Alpha S&P 500 ETF,
10631,,ZTAQU,,
