i,코드,상품명,거래소
2479,GS,GS,코스피
3060,KD,KD,코스닥
3141,KT,KT,코스피
3599,MOGa,Beijing Bei Mo Gao Ke Friction Material Co Ltd Class A,심천(선강퉁) 증권거래소
3823,NICE.O,NICE,코스피
3890,NPK,엔피케이,코스닥
